name,address,LHIN,home_type,short_stay,residents_council,family_council,accreditation,additional_info,city,postal_code,first_inspection_date,total_inspections,5y_inspections,2y_inspections,total_complaints,5y_complaints,2y_complaints,total_critical,5y_critical,2y_critical,total_withOrders,5y_withOrders,2y_withOrders,cleaned_name,outbreak,number_beds,CSDname,CSDuid,latitude,longitude
PEOPLECARE OAKCROSSING LONDON,1242 Oakcrossing Road,South West,For-Profit,No,Yes,Yes,Yes,,London, N6H0G2,2010-09-07,86,30,17,48,15,7,32,11,9,1,1,1,peoplecare oakcrossing london,1,160,London,3539036,42.99044098,-81.31277543
PEOPLECARE TAVISTOCK,28 William Street North P.O. Box 460,South West,For-Profit,Yes,Yes,No,Yes,,Tavistock, N0B2R0,2010-10-12,24,12,7,7,3,2,12,6,5,,,,peoplecare tavistock,0,100,East Zorra-Tavistock,3532038,43.31908376,-80.83917752
PERTH COMMUNITY CARE CENTRE,101 Christie Lake Road R. R. #4,South East,For-Profit,No,Yes,Yes,Yes,,Perth, K7H3C6,2011-06-15,40,24,14,12,6,4,11,10,6,12,4,3,perth community care centre,0,121,Tay Valley,3509015,44.90433714,-76.27097938
PETER D. CLARK CENTRE,9 Meridian Place,Champlain,Municipal,No,Yes,Yes,Yes,,Ottawa, K2G6P8,2011-10-12,91,69,35,44,36,19,32,20,12,11,9,3,peter d. clark centre,1,216,Ottawa,3506008,45.34293864,-75.76125205
PINE MEADOW NURSING HOME,124 Lloyd Street P.O. Box 100,South East,Non-Profit,Yes,Yes,Yes,Yes,,Northbrook, K0H2G0,2011-10-31,20,13,5,7,5,2,5,4,2,3,1,1,pine meadow nursing home,0,60,Addington Highlands,3511035,44.7375315,-77.1556304
PINE VILLA NURSING HOME,490 Highway #8,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,No,No,,Stoney Creek, L8G1G6,2011-09-07,21,16,6,5,3,2,4,4,3,7,6,,pine villa nursing home,0,41,Hamilton,3525005,43.21627369,-79.71616285
PINECREST (KENORA),1220 Valley Drive,North West,Municipal,Yes,Yes,Yes,No,,Kenora, P9N2W7,2010-09-01,25,13,6,5,2,1,8,2,1,5,3,2,pinecrest (kenora),0,116,Kenora,3560010,49.7799152,-94.4631099
PINECREST (PLANTAGENET),101 Parent Street P.O. Box 250,Champlain,For-Profit,No,Yes,Yes,No,,Plantagenet, K0B1L0,2011-07-15,50,32,12,20,12,6,18,10,4,4,2,,pinecrest (plantagenet),1,60,Alfred and Plantagenet,3502023,45.5420141,-74.99812112
PINECREST MANOR,399 Bob Street P.O. BOX 220,South West,For-Profit,No,Yes,Yes,Yes,,Lucknow, N0G2H0,2011-11-01,20,12,6,6,3,2,8,5,3,3,3,,pinecrest manor,0,61,Huron-Kinloss,3541015,43.95579153,-81.51071469
PINECREST NURSING HOME - BOBCAYGEON,3418 County Road 36 R.R. #2,Central East,For-Profit,No,Yes,Yes,No,,Bobcaygeon, K0M1A0,2011-09-20,21,12,6,4,1,1,5,3,2,7,5,3,pinecrest nursing home (bobcaygeon),1,65,Kawartha Lakes,3516010,44.52836508,-78.53389679
PINEHAVEN NURSING HOME,229 Lexington Road,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,,Waterloo, N2K2E1,2010-10-13,40,20,8,14,7,2,14,7,4,3,2,1,pinehaven nursing home,1,84,Waterloo,3530016,43.4926954,-80.51167673
PIONEER MANOR,960 Notre Dame Avenue,North East,Municipal,No,Yes,Yes,Yes,,Sudbury, P3A2T4,2010-12-14,78,46,24,28,15,8,24,15,8,26,14,4,pioneer manor,1,433,Greater Sudbury / Grand Sudbury,3553005,46.51756439,-80.98200638
PIONEER RIDGE,750 Tungsten Street,North West,Municipal,No,Yes,Yes,Yes,,Thunder Bay, P7B6R1,2010-10-26,33,17,11,12,5,4,10,5,4,6,3,2,pioneer ridge,0,150,Thunder Bay,3558004,48.41777116,-89.25595747
PLEASANT MANOR RETIREMENT VILLAGE,15 Elden Street Box 500,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,No,No,,Virgil, L0S1T0,2011-09-20,14,9,3,3,1,1,3,2,2,4,4,1,pleasant manor retirement village,0,41,Niagara-on-the-Lake,3526047,43.22673892,-79.12186246
PLEASANT MEADOW MANOR,99 Alma Street P. O. Box 426,Central East,For-Profit,No,Yes,Yes,Yes,,Norwood, K0L2V0,2010-11-18,23,13,8,8,4,4,8,5,4,2,2,,pleasant meadow manor,0,61,Asphodel-Norwood,3515003,44.37927558,-77.96791169
PORT PERRY PLACE,15941 Simcoe Street,Central East,For-Profit,No,Yes,Yes,Yes,,Port Perry, L9L1N5,2010-10-01,53,30,9,29,17,5,14,9,4,9,5,2,port perry place,0,107,Scugog,3518020,44.11144499,-78.95044579
POST INN VILLAGE,203 Georgian Drive,Mississauga Halton,Municipal,Yes,Yes,Yes,Yes,,Oakville, L6H7H9,2010-07-28,35,11,5,20,3,1,9,4,3,2,1,,post inn village,1,228,Oakville,3524001,43.48026034,-79.71675247
PRINCESS COURT,Princess Street Box 725,North West,Municipal,Yes,Yes,Yes,No,,Dryden, P8N2Z4,2010-09-30,29,9,7,9,,,9,3,3,9,5,3,princess court,0,97,Dryden,3560027,49.783303,-92.8352797
PROVIDENCE HEALTHCARE,3276 St. Clair Avenue East,Toronto Central,Non-Profit,No,Yes,Yes,Yes,,Scarborough, M1L1W1,2010-11-09,56,30,12,32,17,5,16,10,6,6,4,2,providence healthcare,1,288,Toronto,3520005,43.7122051,-79.2850295
PROVIDENCE MANOR,275 Sydenham Street,South East,Non-Profit,Yes,Yes,Yes,Yes,,Kingston, K7K1G7,2011-06-23,73,52,20,25,19,9,32,21,9,15,10,3,providence manor,1,243,Kingston,3510010,44.23553812,-76.4854634
QUEEN'S GARDEN,80 Queen Street North,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,Yes,,Hamilton, L8R3P6,2010-08-13,45,16,10,20,7,4,13,4,4,7,6,3,queen's garden,0,128,Hamilton,3525005,43.26115109,-79.87697411
QUEENSWAY LONG TERM CARE HOME,100 Queen Street East P.O. Box 369,South West,For-Profit,Yes,Yes,Yes,Yes,,Hensall, N0M1X0,2010-11-30,26,11,7,16,4,3,5,4,4,1,1,,queensway long term care home,0,60,Bluewater,3540010,43.43497405,-81.50347404
R. H. LAWSON EVENTIDE HOME,5050 Jepson Street,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,Yes,Yes,Yes,No,,Niagara Falls, L2E1K5,2010-12-08,19,12,6,4,3,2,6,4,3,7,4,2,r. h. lawson eventide home,1,101,Niagara Falls,3526043,43.0997467,-79.07748394
RAINY RIVER HEALTH CENTRE,114 Fourth Street P.O. Box 236,North West,Non-Profit,No,Yes,No,No,,Rainy River, P0W1L0,2011-11-14,13,8,4,2,1,,3,2,2,2,2,1,rainy river health centre,0,21,Rainy River,3559042,48.71856,-94.5692765
RAINYCREST,550 Osborne Street,North West,Non-Profit,Yes,Yes,Yes,Yes,,Fort Frances, P9A3T2,2011-03-08,70,50,30,23,13,8,23,19,11,23,17,10,rainycrest,0,164,Fort Frances,3559012,48.61757858,-93.38953726
REACHVIEW VILLAGE,130 Reach Street,Central East,For-Profit,No,Yes,Yes,Yes,,Uxbridge, L9P1L3,2011-04-20,42,24,7,17,7,4,10,5,2,11,7,1,reachview village,1,100,Uxbridge,3518029,44.10408728,-79.11189924
REGENCY LONG TERM CARE HOME,66 Dorset Street East,Central East,For-Profit,Yes,Yes,Yes,Yes,,Port Hope, L1A1E3,2010-08-26,28,15,6,6,3,1,10,6,4,9,2,,regency long term care home,0,60,Port Hope,3514020,43.95079819,-78.28804066
REGENCY PARK LONG TERM CARE HOME,567 Victoria Avenue,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,,Windsor, N9A4N1,2010-07-28,29,16,9,15,6,4,8,5,4,1,1,1,regency park long term care home,1,72,Windsor,3537039,42.31362957,-83.03932361
REGINA GARDENS,536 Upper Paradise Road,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,Yes,,Hamilton, L9C5E3,2010-10-19,32,16,6,20,7,2,4,3,2,4,3,2,regina gardens,1,128,Hamilton,3525005,43.23102399,-79.91358922
RESIDENCE PRESCOTT ET RUSSELL,"1020, Cartier Boulevard",Champlain,Municipal,Yes,Yes,Yes,Yes,,Hawkesbury, K6A1W7,2010-09-29,58,32,14,16,10,6,23,10,6,11,6,4,residence prescott et russell,0,146,Hawkesbury,3502008,45.60023563,-74.61370539
RESIDENCE SAINT- LOUIS,879 Chemin Parc Hiawatha,Champlain,Non-Profit,Yes,Yes,Yes,Yes,,Ottawa, K1C2Z6,2010-09-01,114,72,28,40,26,12,40,22,10,31,22,4,residence saint-louis,1,198,Ottawa,3506008,45.48316947,-75.54547069
RICHMOND TERRACE,89 Rankin Avenue,Erie St. Clair,For-Profit,Yes,Yes,Yes,Yes,,Amherstburg, N9V1E7,2010-09-21,63,36,16,41,21,8,16,9,7,2,2,1,richmond terrace,0,120,Amherstburg,3537028,42.10422443,-83.11025501
RIDEAUCREST HOME,175 Rideau Street,South East,Municipal,No,Yes,Yes,Yes,,Kingston, K7K3H6,2010-09-20,71,44,22,25,14,10,34,22,10,9,4,2,rideaucrest home,0,170,Kingston,3510010,44.23807732,-76.4823285
RIDGEVIEW,385 Highland Road West,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,,Stoney Creek, L8J3X9,2010-12-15,25,12,8,11,4,3,5,3,3,6,4,2,ridgeview,0,120,Hamilton,3525005,43.18766128,-79.80319278
RITZ LUTHERAN VILLA,"Part Lot 16, Con 2, Logan Twn R.R. #5",South West,Non-Profit,No,Yes,Yes,No,,Mitchell, N0K1N0,2010-09-14,66,24,10,36,13,3,15,6,5,11,5,2,ritz lutheran villa,0,85,West Perth,3531025,43.478586,-81.191192
RIVER GLEN HAVEN NURSING HOME,160 High Street P.O. Box 368,Central,For-Profit,No,Yes,Yes,Yes,,Sutton West, L0E1R0,2010-08-23,31,18,9,12,6,4,7,4,2,11,7,3,river glen haven nursing home,1,119,Georgina,3519070,44.3039488,-79.36171604
RIVERBEND PLACE,650 Coronation Blvd.,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,,Cambridge, N1R7S6,2010-08-24,18,12,6,5,2,1,8,7,4,,,,riverbend place,0,54,Cambridge,3530010,43.37692539,-80.32575336
RIVERSIDE PLACE,3181 Meadowbrook Lane,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,,Windsor, N8T0A4,2010-08-19,54,27,15,27,13,8,19,10,7,1,1,,riverside place,1,96,Windsor,3537039,42.29910898,-82.92755457
RIVERVIEW GARDENS,519 King Street West,Erie St. Clair,Municipal,Yes,Yes,Yes,No,,Chatham, N7M1G8,2010-09-16,109,47,22,46,26,10,55,16,11,2,1,1,riverview gardens,1,320,Chatham-Kent,3536020,42.39921553,-82.19474266
RIVERVIEW MANOR NURSING HOME,1155 Water Street,Central East,For-Profit,No,Yes,Yes,Yes,,Peterborough, K9H3P8,2011-06-16,37,21,9,13,5,3,12,7,4,5,5,2,riverview manor nursing home,1,124,Peterborough,3515014,44.33636205,-78.3150222
ROBERTA PLACE,503 Essa Road,North Simcoe Muskoka,For-Profit,Yes,Yes,No,Yes,,Barrie, L4N9E4,2011-07-28,42,26,22,17,7,7,15,12,11,12,11,7,roberta place,0,140,Barrie,3543042,44.34268529,-79.70744685
ROCKCLIFFE CARE COMMUNITY,3015 Lawrence Avenue East,Central East,For-Profit,Yes,Yes,Yes,Yes,,Scarborough, M1P2V7,2011-05-30,37,29,23,20,15,12,12,9,8,6,6,5,rockcliffe care community,1,204,Toronto,3520005,43.75467751,-79.24789355
ROCKWOOD TERRACE HOME FOR THE AGED,575 Saddler Street East P. O. Box 660,South West,Municipal,No,Yes,Yes,No,,Durham, N0G1R0,2010-08-30,29,11,6,5,1,1,17,5,4,3,3,,rockwood terrace home for the aged,0,100,West Grey,3542004,44.17446891,-80.80961509
ROSE OF SHARON KOREAN LONG TERM CARE,17 Maplewood Avenue,Toronto Central,Non-Profit,No,Yes,Yes,No,,Toronto, M6C4B3,2011-03-22,14,5,2,4,,,1,1,1,,,,rose of sharon korean long term care,0,60,Toronto,3520005,43.68583989,-79.4218175
ROSEBRIDGE MANOR,131 Roses Bridge Road R. R. #2,South East,For-Profit,No,Yes,Yes,Yes,,Jasper, K0G1G0,2010-07-21,24,14,5,9,3,1,10,8,4,1,,,rosebridge manor,1,78,Merrickville-Wolford,3507052,44.84219285,-75.89019625
ROSEDALE CENTRE,507- 8th Avenue P.O. Box 70,North East,Non-Profit,No,Yes,Yes,No,,Matheson, P0K1N0,2011-05-11,14,7,3,1,,,7,2,2,2,2,,rosedale centre,0,20,Black River-Matheson,3556014,48.53944263,-80.46973105
ROYAL OTTAWA PLACE,1145 Carling Avenue,Champlain,Non-Profit,Yes,Yes,Yes,Yes,,Ottawa, K1Z7K4,2010-09-12,23,15,8,5,5,4,10,4,2,6,4,3,royal ottawa place,0,70,Ottawa,3506008,45.38854715,-75.72980265
ROYAL ROSE PLACE,635 Prince Charles Drive North,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,No,No,No,,Welland, L3C0C7,2016-08-16,14,14,9,4,4,3,4,4,2,3,3,2,royal rose place,1,96,Welland,3526032,43.00162217,-79.26928669
ROYAL TERRACE,600 White's Road,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,,Palmerston, N0G2P0,2010-08-10,24,14,7,5,3,,12,7,6,4,3,1,royal terrace,1,67,Minto,3523043,43.83992155,-80.84393637
SAINT LUKE'S PLACE,1624 Franklin Boulevard,Waterloo Wellington,Non-Profit,No,Yes,Yes,Yes,,Cambridge, N3C3P4,2010-11-16,33,21,10,17,13,7,11,5,3,4,4,3,saint luke's place,1,114,Cambridge,3530010,43.4253246,-80.31029116
SANDFIELD PLACE,220 Emma Street,Champlain,For-Profit,No,Yes,Yes,Yes,,Cornwall, K6J5V8,2011-05-10,27,21,11,11,8,4,9,7,4,3,3,2,sandfield place,0,53,Cornwall,3501012,45.03749423,-74.75148549
SANTÉ MANITOUWADGE HEALTH,1 Health Care Crescent,North West,Non-Profit,No,Yes,Yes,Yes,,Manitouwadge, P0T2C0,2011-08-16,12,7,3,1,1,,,,,7,4,2,sante manitouwadge health,0,9,Manitouwadge,3558066,49.12743949,-85.82432229
SARA VISTA,27 Simcoe Street,North Simcoe Muskoka,For-Profit,Yes,Yes,Yes,Yes,,Elmvale, L0L1P0,2011-08-16,15,9,5,5,2,2,4,2,2,1,,,sara vista,0,60,Springwater,3543009,44.58237802,-79.86181752
SARSFIELD COLONIAL HOME,2861 Colonial Road P.O. Box 130,Champlain,For-Profit,No,Yes,Yes,Yes,"recipient no 346524 – sarsfield colonial home
comment - change in ownership effective february 19 2020. details transferred to recipient no 664183/ facility no nh1692
",Sarsfield, K0A3E0,2010-08-11,62,42,12,27,14,2,13,8,4,18,16,4,sarsfield colonial home,0,46,Ottawa,3506008,45.440588,-75.347066
SEAFORTH LONG TERM CARE HOME,100 James Street,South West,For-Profit,Yes,Yes,Yes,Yes,,Seaforth, N0K1W0,2010-09-20,17,11,6,6,2,1,4,4,3,1,1,1,seaforth long term care home,0,63,Huron East,3540040,43.55647627,-81.39760291
SECORD TRAILS CARE COMMUNITY,263 Wonham Street South,South West,For-Profit,Yes,Yes,Yes,Yes,,Ingersoll, N5C3P6,2010-07-28,63,30,17,26,13,5,23,11,9,16,12,10,secord trails care community,1,80,Ingersoll,3532018,43.03265541,-80.8830515
SENIORS' HEALTH CENTRE,2 Buchan Court,Central,Non-Profit,Yes,Yes,Yes,Yes,,North York, M2J5A3,2011-04-20,33,21,8,13,8,3,7,5,4,11,6,3,seniors' health centre,0,192,Toronto,3520005,43.77304721,-79.36002319
SEVEN OAKS,9 Neilson Road,Central East,Municipal,Yes,Yes,Yes,Yes,,Scarborough, M1E5E1,2011-06-21,47,32,20,21,15,9,17,11,7,8,8,5,seven oaks,1,249,Toronto,3520005,43.78117732,-79.20432774
SHALOM MANOR LONG TERM CARE HOME,12 Bartlett Avenue,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,No,,Grimsby, L3M4N5,2010-09-01,20,12,9,7,4,4,7,4,4,2,2,2,shalom manor long term care home,1,144,Grimsby,3526065,43.1869815,-79.52455129
SHALOM VILLAGE NURSING HOME,70 Macklin Street North,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,Yes,,Hamilton, L8S3S1,2010-12-09,21,15,7,7,3,2,3,2,2,5,5,2,shalom village nursing home,0,127,Hamilton,3525005,43.26411849,-79.89518251
SHELBURNE LONG TERM CARE HOME,200 Robert Street P.O. Box 156,Central West,For-Profit,Yes,Yes,Yes,Yes,,Shelburne, L0N1S1,2010-09-23,24,17,11,10,5,4,4,2,1,7,7,5,shelburne long term care home,1,60,Shelburne,3522021,44.08301872,-80.20421248
SHEPHERD LODGE,3760 Sheppard Avenue East,Central East,Non-Profit,No,Yes,Yes,Yes,,Toronto, M1T3K9,2011-01-24,51,26,18,23,12,9,14,9,7,14,7,6,shepherd lodge,1,252,Toronto,3520005,43.78271331,-79.29413397
SHERBOURNE PLACE,345 Sherbourne Street,Toronto Central,Non-Profit,Yes,Yes,No,Yes,,Toronto, M5A2S3,2010-11-23,31,17,5,14,6,2,9,3,1,4,4,1,sherbourne place,1,126,Toronto,3520005,43.66267759,-79.37266528
SHERIDAN VILLA,2460 Truscott Drive,Mississauga Halton,Municipal,No,Yes,Yes,Yes,,Mississauga, L5J3Z8,2010-11-03,26,14,9,12,7,5,7,3,3,4,2,1,sheridan villa,1,142,Mississauga,3521005,43.51060205,-79.64829886
SHERWOOD COURT LONG TERM CARE CENTRE,300 Ravineview Drive,Central,For-Profit,No,Yes,Yes,Yes,,Maple, L6A3P8,2010-09-09,42,25,13,18,12,8,17,9,5,8,6,1,sherwood court long term care centre,1,96,Vaughan,3519028,43.88950162,-79.51877245
SHERWOOD PARK MANOR,1814 County Road  #2 East,South East,Non-Profit,No,Yes,Yes,No,,Brockville, K6V5T1,2010-10-04,61,28,13,28,13,5,23,8,4,9,6,6,sherwood park manor,0,107,Elizabethtown-Kitley,3507014,44.60514,-75.662296
SILVERTHORN CARE COMMUNITY,4350 Mississauga Road,Mississauga Halton,For-Profit,No,Yes,Yes,Yes,,Mississauga, L5M7C8,2010-10-13,30,13,8,9,5,4,15,4,3,4,4,2,silverthorn care community,1,160,Mississauga,3521005,43.56232545,-79.68858187
SIMCOE MANOR HOME FOR THE AGED,5988 - 8TH LINE Main Street East,Central,Municipal,Yes,Yes,Yes,Yes,,Beeton, L0G1A0,2010-07-13,29,12,8,10,3,2,8,4,4,9,4,4,simcoe manor home for the aged,1,126,New Tecumseth,3543007,44.08139484,-79.77752875
SMOOTH ROCK FALLS HOSPITAL,107 Kelly Road P.O. Box 219,North East,Non-Profit,No,Yes,No,Yes,,Smooth Rock Falls, P0L2B0,2011-05-04,17,10,5,1,,,6,3,3,4,2,1,smooth rock falls hospital,0,20,Smooth Rock Falls,3556048,49.272285,-81.610265
SOUTH CENTENNIAL MANOR,240 Fyfe Street,North East,Non-Profit,Yes,Yes,Yes,Yes,,Iroquois Falls, P0K1E0,2011-11-15,25,19,13,3,3,3,10,6,4,10,7,4,south centennial manor,1,69,Iroquois Falls,3556031,48.76584185,-80.68247105
SOUTHAMPTON CARE CENTRE,140 Grey Street P.O. Box 790,South West,For-Profit,Yes,Yes,Yes,Yes,,Southampton, N0H2L0,2010-10-26,29,12,8,9,3,3,12,2,2,4,3,3,southampton care centre,0,88,Saugeen Shores,3541045,44.48871523,-81.36830209
SOUTHBRIDGE LAKEHEAD,135 South Vickers Street,North West,For-Profit,No,Yes,Yes,Yes,,Thunder Bay, P7E1J2,2011-01-05,76,29,9,21,7,1,19,9,4,31,11,2,southbridge lakehead,0,131,Thunder Bay,3558004,48.38274726,-89.25160776
SOUTHBRIDGE PINEWOOD,2625 Walsh Street East,North West,For-Profit,No,Yes,Yes,Yes,,Thunder Bay, P7E2E5,2011-09-06,38,25,9,8,4,1,17,8,3,14,13,3,southbridge pinewood,0,128,Thunder Bay,3558004,48.37456045,-89.27416157
SOUTHBRIDGE ROSEVIEW,99 Shuniah Street,North West,For-Profit,No,Yes,Yes,Yes,,Thunder Bay, P7A2Z2,2010-08-11,44,21,13,14,7,5,18,6,4,11,7,4,southbridge roseview,0,157,Thunder Bay,3558004,48.45042517,-89.21555166
SOUTHLAKE RESIDENTIAL CARE VILLAGE,640 Grace Street,Central,Non-Profit,No,Yes,Yes,Yes,,Newmarket, L3Y2L1,2009-12-01,51,20,15,26,7,5,11,5,5,12,6,4,southlake residential care village,1,224,Newmarket,3519048,44.05931585,-79.45092944
SPENCER HOUSE,835 West Ridge Blvd.,North Simcoe Muskoka,Non-Profit,No,Yes,Yes,Yes,,Orillia, L3V8B3,2010-08-13,32,19,11,10,4,3,12,8,6,6,2,1,spencer house,1,160,Orillia,3543052,44.60314495,-79.45390869
SPRINGDALE COUNTRY MANOR,2698 Clifford Line R. R. #5,Central East,For-Profit,No,Yes,Yes,Yes,,Peterborough, K9J6X6,2009-09-22,31,20,7,12,7,3,9,7,4,6,3,,springdale country manor,0,68,Cavan Monaghan,3515013,44.23107203,-78.39679912
SPRUCE LODGE HOME FOR THE AGED,643 West Gore Street,South West,Municipal,Yes,Yes,No,Yes,,Stratford, N5A1L4,2010-09-21,47,26,10,24,13,2,16,8,7,5,5,3,spruce lodge home for the aged,0,128,Stratford,3531011,43.36760056,-81.00083747
SPRUCEDALE CARE CENTRE,96 Kittridge Avenue East,South West,For-Profit,No,Yes,Yes,Yes,,Strathroy, N7G2A8,2010-09-15,19,9,4,5,2,,9,4,4,,,,sprucedale care centre,1,96,Strathroy-Caradoc,3539015,42.96355986,-81.62413493
ST PATRICK'S HOME,2865 Riverside Drive,Champlain,Non-Profit,Yes,Yes,Yes,Yes,,Ottawa, K1V8N5,2010-08-24,86,47,24,44,19,11,26,20,10,9,6,3,st. patrick's home,1,288,Ottawa,3506008,45.36947155,-75.68903093
ST. ANDREW'S TERRACE LONG TERM CARE COMMUNITY,255 St. Andrew's Street,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,,Cambridge, N1S1P1,2010-09-09,53,23,10,16,8,3,25,8,4,8,7,2,st. andrew's terrace long term care community,1,128,Cambridge,3530010,43.34600049,-80.32871446
ST. CLAIR O'CONNOR COMMUNITY NURSING HOME,2701 St Clair Avenue East,Toronto Central,Non-Profit,No,Yes,Yes,Yes,,East York, M4B3M3,2011-08-15,9,6,1,1,,,2,2,1,,,,st. clair o'connor community nursing home,1,25,Toronto,3520005,43.7056131,-79.31276747
ST. GABRIEL'S VILLA OF SUDBURY,4690 Municipal Road 15,North East,Non-Profit,No,Yes,Yes,Yes,,Chelmsford, P0M1L0,2011-04-13,79,56,34,24,16,10,23,18,14,33,25,12,st. gabriel's villa of sudbury,1,128,Greater Sudbury / Grand Sudbury,3553005,46.575821,-81.183418
ST. GEORGE CARE COMMUNITY,225 St. George Street,Toronto Central,For-Profit,Yes,Yes,Yes,Yes,,Toronto, M5R2M2,2010-11-08,46,22,12,27,9,6,13,10,6,6,3,3,st. george care community,1,238,Toronto,3520005,43.67253289,-79.40161649
ST. JACQUES NURSING HOME,915 Notre Dame Street P. O. Box 870,Champlain,Non-Profit,No,Yes,Yes,Yes,,Embrun, K0A1W0,2011-11-01,50,34,8,18,10,4,10,8,4,10,6,,st. jacques nursing home,0,60,Russell,3502048,45.27229585,-75.28638399
ST. JOSEPH'S AT FLEMING,659 Brealey Drive,Central East,Non-Profit,No,Yes,Yes,Yes,,Peterborough, K9K2R8,2011-03-09,114,51,18,51,23,9,32,15,8,26,8,1,st. joseph's at fleming,1,200,Peterborough,3515014,44.26877564,-78.36982641
ST. JOSEPH'S CONTINUING CARE CENTRE,14 York Street,Champlain,Non-Profit,No,Yes,Yes,Yes,,Cornwall, K6J5T2,2010-09-13,34,19,10,12,8,3,12,6,5,5,2,2,st. joseph's continuing care centre,1,150,Cornwall,3501012,45.01462532,-74.73145128
"ST. JOSEPH'S HEALTH CENTRE, GUELPH",100 Westmount Road,Waterloo Wellington,Non-Profit,No,Yes,Yes,Yes,,Guelph, N1H5H8,2010-11-16,44,21,5,16,10,3,16,3,1,8,6,1,st. joseph's health centre - guelph,0,240,Guelph,3523008,43.549994,-80.272024
ST. JOSEPH'S LIFECARE CENTRE,99 Wayne Gretzky Parkway,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,No,,Brantford, N3S6T6,2010-12-07,30,18,15,10,5,5,11,6,5,5,5,3,st. joseph's lifecare centre,1,205,Brantford,3529006,43.14553416,-80.23530631
ST. JOSEPH'S MANOR,70 Spine Road,North East,Non-Profit,Yes,Yes,Yes,Yes,,Elliot Lake, P5A1X2,2010-07-21,39,22,10,13,5,2,9,7,4,15,8,2,st. joseph's manor,0,64,Elliot Lake,3557041,46.38484207,-82.66092821
"ST. JOSEPH'S VILLA, DUNDAS",56 Governor's Road,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,Yes,Yes,Yes,Yes,,Dundas, L9H5G7,2010-08-05,103,40,18,52,18,7,25,9,6,35,17,8,st. joseph's villa (dundas),1,425,Hamilton,3525005,43.26175889,-79.95770113
"ST. JOSEPH'S VILLA, SUDBURY",1250 South Bay Road,North East,Non-Profit,No,Yes,Yes,Yes,,Sudbury, P3E6L9,2011-01-24,39,21,10,14,6,2,11,9,6,10,5,1,"st. joseph's villa, sudbury",1,128,Greater Sudbury / Grand Sudbury,3553005,46.46661488,-80.96677167
ST. LAWRENCE LODGE,"1803 County Road, #2 East Postal Bag  #1130",South East,Municipal,No,Yes,Yes,No,,Brockville, K6V5T1,2010-09-10,56,34,14,27,16,4,19,12,8,6,3,2,st. lawrence lodge,0,224,Elizabethtown-Kitley,3507014,44.60164641,-75.66542026
ST. PETER'S RESIDENCE AT CHEDOKE,125 Redfern Avenue,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,Yes,,Hamilton, L9C7W9,2010-12-02,37,17,10,17,3,3,13,8,5,8,4,1,st. peter's residence at chedoke,0,210,Hamilton,3525005,43.24048479,-79.92012482
STAYNER CARE CENTRE,"244 Main Street East 7308 Highway #26, P.O. Box 350",North Simcoe Muskoka,For-Profit,No,Yes,No,No,,Stayner, L0M1S0,2011-11-08,15,10,5,3,2,1,3,3,3,5,3,1,stayner care centre,1,49,Clearview,3543005,44.41953308,-80.09109148
STIRLING HEIGHTS,200 Stirling Macgregor Drive,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,,Cambridge, N1S5B7,2011-02-10,24,14,9,7,5,4,11,5,5,2,,,stirling heights,1,110,Cambridge,3530010,43.33915669,-80.33371706
STIRLING MANOR NURSING HOME,218 Edward Street P.O. Box 220,South East,For-Profit,No,Yes,No,Yes,,Stirling, K0K3E0,2010-07-12,37,21,8,11,6,4,13,9,3,5,1,,stirling manor nursing home,0,75,Stirling-Rawdon,3512020,44.30226088,-77.54846075
STONERIDGE MANOR,256 High Street,Champlain,For-Profit,No,Yes,Yes,Yes,,Carleton Place, K7C1X1,2010-11-01,29,14,8,8,4,3,16,6,4,1,1,1,stoneridge manor,1,60,Carleton Place,3509028,45.13580539,-76.15419976
STRATHCONA LONG TERM CARE,465 Dublin Street,Waterloo Wellington,For-Profit,Yes,Yes,Yes,Yes,,Mount Forest, N0G2L3,2011-02-28,32,15,9,9,4,2,10,5,5,12,7,3,strathcona long term care,1,87,Wellington North,3523050,43.97509868,-80.73933974
