FACILITY_NAME,HCC_CODE,HLTH_AUTH,OWNERSHIP,STREET_ADDRESS,CITY,POSTAL,REGULATION,ACCRED_STATUS,DCH_NURSE_LASTYR,DCH_ALLIED_LASTYR,DCH_TOTAL_LASTYR,DCH_NURSE_CURRENTYR,DCH_ALLIED_CURRENTYR,DCH_TOTAL_CURRENTYR,BEDS_TOTAL,ROOMS_PRIVATE,ROOMS_SEMI,ROOMS_MULTI,COMPLAINTS,SUB_COMPLAINTS,INCIDENT_OUTBREAK,INCIDENT_ABUSE,INCIDENT_FALL,INCIDENT_POISON,INCIDENT_MEDICATION,INCIDENT_WANDERING,INCIDENT_INJURY,INCIDENT_AGGRESSION,INCIDENT_OUTBREAK_100,INCIDENT_ABUSE_100,INCIDENT_FALL_100,INCIDENT_POISON_100,INCIDENT_MEDICATION_100,INCIDENT_WANDERING_100,INCIDENT_INJURY_100,INCIDENT_AGGRESSION_100,AGE,FEMALE,AGE_85_PLUS,AGE_UNDER_65,STAY_LENGTH,DEPRESSION,ADL_DEPENDENT,CPS_SEVERE,DEMENTIA,ABS_PHYS_ABUSIVE,ISE,ISE_LOW,CMI,THERAPY_PT,THERAPY_RT,THERAPY_OT,MEDS_DEPRESSION,MEDS_ANTIPSYCHOTICS,RESTRAINTS,INSPECTIONS,INFRACTIONS,INFRACTIONS_LICENSING,INFRACTIONS_FACILITY,INFRACTIONS_STAFFING,INFRACTIONS_POLICY,INFRACTIONS_CARE,INFRACTIONS_DISEASE,INFRACTIONS_FOOD,INFRACTIONS_MEDICATION,INFRACTIONS_PROGRAM,INFRACTIONS_REPORTING,INFRACTIONS_RIGHTS,INFRACTIONS_OTHER,latitude,longitude,Total Confirmed Cases,Total Deaths,outbreak,RESIDENT_COUNCIL,FAMILY_COUNCIL,BEDS_PRIVATEprop
McKinney Place - South Okanagan General Hospital,9A722,Interior Health,HA,911 McKinney Road,Oliver,V0H1T3,Hospital Act,Accredited,2.85,0.34,3.19,2.85,0.34,3.19,75,7,4,15,0,0,1,2,7,0,0,1,0,0,1.3,2.7,9.3,0.0,0.0,1.3,0.0,0.0,86,62.1%,66.5%,2.3%,210,25.7%,22.9%,28.6%,66.9%,3.7%,1.7,74.3%,0.54,9.4%,22.4%,2.9%,28.6%,15.8%,4.1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.1835315,-119.53900043064311,,,0,True,True,0.0
Menno Home,98H8D,Fraser Health,PNP,32910 Brundige Ave,Abbotsford,V2S1N2,Community Care & Assisted Living Act,Accredited,2.48,0.31,2.79,2.7,0.33,3.03,196,186,5,0,2,0,0,0,20,0,1,1,1,0,0.0,0.0,10.2,0.0,0.5,0.5,0.5,0.0,87,64.1%,62.8%,2.2%,780,22.4%,15.1%,23.9%,81.8%,16.6%,3.0,44.3%,0.56,5.9%,84.3%,4.4%,58.0%,12.3%,3.6%,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0401555,-122.3081538,,,0,True,True,0.0
Menno Hospital,9A6H1,Fraser Health,PNP,32945 Marshall Road,Abbotsford,V2S1K1,Hospital Act,Accredited,2.99,0.38,3.37,2.99,0.38,3.37,151,59,43,2,0,0,1,0,16,0,0,0,2,1,0.7,0.0,10.6,0.0,0.0,0.0,1.3,0.7,88,76.3%,73.2%,3.3%,834,24.0%,25.7%,18.0%,61.1%,8.5%,2.3,57.9%,0.59,10.6%,70.7%,6.4%,51.8%,5.1%,4.4%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.03929855,-122.31110698892836,,,0,True,True,0.0
Minoru Residence,9A5B4,Vancouver Coastal Health,HA,7333 Gollner Avenue,Richmond,V6Y0J1,Hospital Act,Accredited,2.94,0.3,3.24,2.93,0.31,3.24,250,70,90,0,0,0,2,0,14,0,0,0,0,0,0.8,0.0,5.6,0.0,0.0,0.0,0.0,0.0,84,58.3%,57.2%,5.5%,"1,304",17.5%,52.7%,32.8%,38.5%,3.8%,2.1,63.5%,0.60,32.8%,1.8%,14.9%,40.2%,24.0%,6.2%,2.0,8.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,49.16897,-123.15,,,0,True,True,0.0
Minto House - Arrow Lakes Hospital,9A5A2,Interior Health,HA,97 1st Avenue NE,Nakusp,V0G1R0,Hospital Act,Accredited,2.95,0.51,3.46,2.95,0.51,3.46,16,15,0,0,0,0,2,0,0,0,0,0,0,0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86,64.1%,62.4%,4.3%,604,0.0%,39.0%,32.2%,79.7%,3.4%,3.5,28.8%,0.57,33.9%,0.0%,0.0%,42.4%,23.9%,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.2392729,-117.795712,,,0,True,True,0.0
Mission Creek Landing,98J5G,Interior Health,PFP,3081 Hall Rd,Kelowna,V1W2R5,Community Care & Assisted Living Act,Accredited,2.8,0.35,3.15,2.87,0.35,3.22,104,94,5,0,0,2,2,2,9,0,1,2,1,0,1.9,1.9,8.7,0.0,1.0,1.9,1.0,0.0,88,76.0%,75.4%,1.0%,590,28.9%,22.1%,23.4%,74.7%,4.4%,3.4,31.5%,0.54,1.0%,0.3%,12.8%,54.9%,7.5%,2.2%,5.0,17.0,3.0,1.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,49.8697756,-119.429557,,,0,True,True,0.038461538461538464
Monashee Mews,93D80,Interior Health,PFP,2165 Norris Avenue,Lumby,V0E2G5,Community Care & Assisted Living Act,Accredited,2.8,0.35,3.15,2.8,0.35,3.15,46,46,0,0,0,0,0,6,2,0,1,0,2,0,0.0,13.0,4.3,0.0,2.2,0.0,4.3,0.0,85,62.7%,67.5%,8.3%,724,51.9%,27.1%,30.9%,73.5%,10.5%,2.4,58.6%,0.59,10.5%,37.6%,18.8%,71.3%,23.3%,17.6%,1.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,50.2498936,-118.9617267,,,0,True,True,0.0
Morgan Place,926A0,Fraser Health,PFP,3288 156a St,Surrey,V3Z9T1,Community Care & Assisted Living Act,Accredited,2.48,0.31,2.79,3.0,0.36,3.36,141,111,5,0,0,0,0,0,4,0,0,0,0,0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,90,55.4%,75.3%,1.1%,458,23.7%,33.1%,25.1%,67.1%,10.3%,2.6,49.2%,0.60,38.9%,63.4%,0.0%,57.0%,13.8%,9.1%,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.062332,-122.790069,,,0,True,True,0.09219858156028368
Mount Cartier Court - Queen Victoria Hospital,92JJ0,Interior Health,HA,1200 Newlands Rd,Revelstoke,V0E2S1,Community Care & Assisted Living Act,Accredited,3.0,0.4,3.4,3.07,0.41,3.49,44,38,6,0,0,0,1,0,4,0,0,1,0,0,2.3,0.0,9.1,0.0,0.0,2.3,0.0,0.0,87,68.6%,64.3%,7.1%,"1,045",26.8%,34.5%,31.5%,73.2%,6.5%,3.1,38.7%,0.61,7.7%,10.7%,9.5%,60.7%,15.8%,4.3%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.9769146,-118.1847111,,,0,True,True,0.0
Mount Ida Mews,93D60,Interior Health,PFP,100 5th Avenue SE,Salmon Arm,V1E4H4,Community Care & Assisted Living Act,Accredited,2.8,0.35,3.15,3.0,0.35,3.35,132,72,0,0,1,0,0,3,10,0,0,0,1,0,0.0,2.3,7.6,0.0,0.0,0.0,0.8,0.0,86,62.1%,55.8%,2.3%,837,36.1%,8.4%,23.9%,73.9%,20.6%,2.3,54.5%,0.56,4.2%,19.7%,3.5%,56.5%,13.0%,11.5%,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,50.69600300000001,-119.28418,,,0,True,True,0.007575757575757576
Mount Saint Joseph Hospital,9A54J,Vancouver Coastal Health,PNP,3080 Prince Edward Street,Vancouver,V5T3N4,Hospital Act,Accredited,2.88,0.29,3.17,2.88,0.29,3.17,99,16,8,17,0,0,1,0,8,0,0,0,0,0,1.0,0.0,8.1,0.0,0.0,0.0,0.0,0.0,88,72.8%,72.3%,1.7%,"1,448",22.3%,41.5%,40.2%,58.8%,5.0%,1.8,71.9%,0.62,16.5%,5.2%,18.1%,31.5%,15.4%,2.1%,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.257699,-123.096358,,,0,True,True,0.0
Mount St. Mary Hospital,9A6A6,Vancouver Island Health,PNP,861 Fairfield Rd.,Victoria,V8V5A9,Hospital Act,Unknown,2.85,0.15,3.0,2.87,0.16,3.04,200,184,8,0,5,0,,,,,,,,,,,,,,,,,83,74.5%,55.6%,9.7%,883,28.5%,31.4%,29.2%,53.7%,5.2%,2.7,46.3%,0.60,1.3%,9.6%,43.3%,58.5%,25.2%,0.6%,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.4132064,-123.3446919,,,0,True,True,0.0
Mount Tolmie Hospital,9A5JC,Vancouver Island Health,HA,3690 Richmond Rd.,Victoria,V8P4R6,Hospital Act,Accredited,2.9,0.27,3.17,2.91,0.27,3.18,72,9,14,9,0,0,,,,,,,,,,,,,,,,,85,81.5%,59.4%,1.2%,580,35.3%,31.3%,24.3%,53.3%,5.3%,3.3,35.7%,0.61,0.7%,76.0%,25.3%,53.7%,23.6%,3.7%,1.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,48.459924,-123.330454,,,0,True,True,0.0
Mountain Lake Seniors Community,92HIA,Interior Health,PFP,908 11th St,Nelson,V1L7A6,Community Care & Assisted Living Act,Unknown,2.8,0.35,3.15,3.01,0.35,3.36,92,92,0,0,1,1,0,4,5,0,0,0,1,0,0.0,4.3,5.4,0.0,0.0,0.0,1.1,0.0,84,65.5%,59.5%,8.1%,980,26.2%,14.5%,25.5%,67.9%,10.0%,3.3,31.7%,0.57,3.4%,0.3%,0.7%,40.7%,25.3%,0.0%,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.5081403,-117.26611815013092,,,0,True,True,0.07608695652173914
Mountain View Lodge - Lillooet Hospital and Health Centre,9A4E5,Interior Health,HA,951 Murray St. ,Lillooet,V0K1V0,Community Care & Assisted Living Act,Accredited,2.9,0.37,3.27,2.9,0.37,3.27,22,20,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,87,72.3%,66.0%,3.9%,"1,958",47.0%,42.2%,38.6%,78.3%,10.8%,2.6,49.4%,0.65,44.6%,2.4%,0.0%,57.8%,30.6%,0.3%,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.68929895,-121.93935595579315,,,0,True,True,0.0
Mountain View Manor - Delta Hospital,9A56E,Fraser Health,HA,5800 Mountain View Boulevard,Delta,V4K3V6,Hospital Act,Unknown,3.04,0.37,3.41,3.04,0.37,3.41,92,12,4,18,0,0,0,0,3,0,0,0,1,0,0.0,0.0,3.3,0.0,0.0,0.0,1.1,0.0,90,64.6%,73.6%,1.1%,911,11.5%,44.7%,28.1%,45.3%,5.0%,1.7,72.5%,0.58,21.6%,63.0%,1.5%,37.9%,22.0%,3.6%,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.085682399999996,-123.06125243089485,,,0,True,True,0.0
Mountainview Lodge - Kitimat General Hospital,9A630,Northern Health,HA,920 Lahakas Blvd. S,Kitimat,V8C2S3,Hospital Act,Accredited,3.13,0.27,3.41,3.02,0.43,3.45,36,32,2,0,,,0,0,1,0,0,0,0,0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,82,73.6%,45.9%,5.0%,,47.6%,48.4%,41.1%,47.6%,0.8%,2.5,51.6%,0.62,0.0%,8.1%,0.0%,45.2%,21.0%,8.0%,2.0,9.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,54.05427370000001,-128.6552266,,,0,True,True,0.0
Mountainview Village,93240,Interior Health,PNP,1540 K.L.O. Road,Kelowna,V1W3P6,Community Care & Assisted Living Act,Accredited,2.8,0.35,3.15,2.8,0.35,3.15,90,90,0,0,0,0,0,0,11,0,0,1,12,0,0.0,0.0,12.2,0.0,0.0,1.1,13.3,0.0,84,61.8%,59.8%,5.3%,782,20.4%,19.6%,34.9%,71.5%,15.3%,2.9,34.7%,0.59,1.1%,10.2%,0.3%,53.0%,42.9%,6.8%,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,49.8610063,-119.4565603,,,0,True,True,0.0
Nanaimo Seniors Village,9261A,Vancouver Island Health,PFP,6085 Uplands Drive,Nanaimo,V9V1T8,Community Care & Assisted Living Act,Accredited,2.9,0.18,3.08,3.01,0.22,3.23,150,150,0,0,4,1,0,0,13,0,0,3,4,13,0.0,0.0,8.7,0.0,0.0,2.0,2.7,8.7,85,67.2%,61.7%,5.1%,906,28.4%,28.0%,31.9%,55.8%,8.2%,3.4,26.1%,0.57,1.6%,4.3%,0.0%,40.5%,37.7%,16.3%,5.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.236311,-124.03886,,,0,True,True,0.10666666666666667
Nelson Jubilee Manor,98G4A,Interior Health,HA,500 Beasley St West,Nelson,V1L6G9,Community Care & Assisted Living Act,Accredited,2.84,0.41,3.25,2.84,0.41,3.25,39,39,0,0,0,0,1,2,1,0,0,0,0,1,2.6,5.1,2.6,0.0,0.0,0.0,0.0,2.6,85,71.2%,61.9%,8.5%,607,29.4%,48.4%,22.9%,52.9%,3.3%,2.2,61.4%,0.60,10.5%,0.0%,10.5%,49.7%,22.2%,9.1%,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,49.4795674,-117.29899609999998,,,0,True,True,0.0
New Vista Care Home,99C37,Fraser Health,PNP,7550 Rosewood Street,Burnaby,V5E3Z3,Community Care & Assisted Living Act,Accredited,2.42,0.31,2.73,2.67,0.32,2.99,236,236,0,0,3,1,0,1,27,1,0,7,4,17,0.0,0.4,11.4,0.4,0.0,3.0,1.7,7.2,83,62.5%,49.3%,4.7%,"1,087",14.4%,29.5%,31.9%,72.9%,13.3%,2.7,48.8%,0.52,21.0%,37.6%,0.0%,52.4%,32.8%,8.1%,5.0,16.0,0.0,3.0,4.0,4.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,49.2239438,-122.94541269093858,20.0,3.0,1,True,True,0.0
Nicola Lodge,93GBA,Fraser Health,PFP,2240 Hawkins St.,Port Coquitlam,V3B0M2,Community Care & Assisted Living Act,Unknown,2.98,0.37,3.36,2.98,0.37,3.35,230,0,0,0,4,1,2,1,25,0,0,2,6,0,0.9,0.4,10.9,0.0,0.0,0.9,2.6,0.0,84,58.6%,56.1%,4.3%,620,18.9%,11.8%,18.4%,60.9%,7.0%,1.7,80.5%,0.58,16.4%,55.4%,2.7%,41.6%,12.5%,4.0%,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.255787,-122.737523,1.0,0.0,1,False,False,0.0782608695652174
Noric House,98IF3,Interior Health,HA,1400 Mission Rd,Vernon,V1T9C3,Community Care & Assisted Living Act,Accredited,2.85,0.34,3.19,2.85,0.34,3.19,85,85,0,0,0,0,1,0,19,0,0,3,2,1,1.2,0.0,22.4,0.0,0.0,3.5,2.4,1.2,85,74.4%,59.5%,2.5%,599,40.5%,39.9%,26.0%,77.5%,9.2%,2.3,61.5%,0.64,34.3%,59.5%,52.4%,69.8%,25.3%,7.6%,1.0,4.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.251193,-119.282587,,,0,True,True,0.0
Normanna Rest Home,9C489,Fraser Health,PNP,7725-4th St,Burnaby,V3N5B6,Community Care & Assisted Living Act,Unknown,2.65,0.33,2.98,2.72,0.34,3.06,100,90,5,0,0,0,0,0,3,0,0,0,0,0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,86,80.2%,61.0%,2.5%,"1,142",27.3%,34.9%,20.6%,62.8%,16.1%,2.9,38.8%,0.60,13.5%,49.5%,0.8%,44.8%,25.9%,9.4%,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.22202645,-122.92761074114857,,,0,True,True,0.0
Northcrest Care Centre,9C5G2,Fraser Health,PFP,6771-120th Street,Delta,V4E2A7,Community Care & Assisted Living Act,Accredited,2.88,0.37,3.24,2.99,0.37,3.36,106,90,8,0,0,0,0,0,3,0,0,2,0,0,0.0,0.0,2.8,0.0,0.0,1.9,0.0,0.0,84,67.6%,51.7%,6.2%,278,52.9%,45.2%,30.4%,70.1%,16.1%,1.8,69.7%,0.58,0.7%,84.9%,0.2%,70.5%,22.5%,10.4%,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.126449,-122.891122,,,0,True,True,0.0
Northern Haida Gwaii Hospital and Health Centre,91F3C,Northern Health,HA,2520 Harrison Avenue,Masset,V0T1M0,Hospital Act,Accredited,3.45,0.0,3.45,3.54,0.0,3.54,5,4,0,0,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,1.0,8.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,54.020576,-132.157074,,,0,False,False,0.0
Oak Bay Lodge,99D3D,Vancouver Island Health,HA,2251 Cadboro Bay Rd.,Victoria,V8R5H3,Community Care & Assisted Living Act,Accredited,2.84,0.22,3.06,2.94,0.22,3.17,235,87,74,0,30,8,1,13,42,0,1,14,2,21,0.4,5.5,17.9,0.0,0.4,6.0,0.9,8.9,88,67.3%,69.7%,1.1%,730,29.4%,14.3%,19.7%,82.8%,5.8%,3.2,37.0%,0.54,0.4%,1.1%,4.3%,52.8%,35.3%,3.6%,19.0,22.0,0.0,2.0,1.0,6.0,5.0,1.0,1.0,1.0,0.0,5.0,0.0,0.0,48.432936,-123.3138,,,0,False,False,0.0
Orchard Haven - South Similkameen Health Centre,9252A,Interior Health,HA,700 3rd St,Keremeos,V0X1N0,Community Care & Assisted Living Act,Accredited,3.01,0.41,3.42,3.04,0.41,3.45,38,38,0,0,0,0,1,1,9,0,0,4,4,1,2.6,2.6,23.7,0.0,0.0,10.5,10.5,2.6,82,66.5%,50.2%,4.4%,643,41.7%,30.3%,29.5%,69.7%,6.1%,3.1,43.9%,0.60,12.1%,3.0%,3.8%,50.0%,26.7%,21.4%,2.0,11.0,2.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,49.2069196,-119.8315278,,,0,True,True,0.0
Overlander Residential Care,9A708,Interior Health,HA,953 Southill Street,Kamloops,V2B7Z9,Hospital Act,Accredited,2.98,0.25,3.23,3.04,0.38,3.42,183,35,14,30,0,0,4,0,17,0,0,5,9,2,2.2,0.0,9.3,0.0,0.0,2.7,4.9,1.1,81,68.3%,42.6%,9.0%,726,37.3%,50.5%,36.4%,67.6%,9.6%,2.5,49.9%,0.62,21.7%,44.4%,17.3%,59.9%,37.3%,8.3%,0.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.70373370000001,-120.3973241,,,0,True,True,0.0
Oyster Harbour Seniors Community,99G47,Vancouver Island Health,PFP,1127 4th Ave,Ladysmith,V9G1A6,Community Care & Assisted Living Act,Not Accredited,2.96,0.24,3.2,2.96,0.25,3.21,89,87,2,0,3,1,0,0,9,0,0,1,0,0,0.0,0.0,10.1,0.0,0.0,1.1,0.0,0.0,83,68.2%,51.4%,5.4%,"1,144",17.5%,18.6%,25.7%,70.1%,8.8%,3.1,40.7%,0.55,2.3%,0.3%,0.0%,42.7%,17.0%,0.5%,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,48.9966463,-123.8287358,,,0,True,True,0.0
Parkside Care,9AI58,Northern Health,HA,788 Ospika Boulevard,Prince George,V2M6Y2,Community Care & Assisted Living Act,Accredited,2.94,0.38,3.31,2.9,0.46,3.36,58,58,0,0,1,1,0,0,3,0,0,0,2,0,0.0,0.0,5.2,0.0,0.0,0.0,3.4,0.0,83,63.9%,54.2%,6.7%,"1,032",28.3%,31.3%,32.5%,69.9%,2.4%,3.0,36.7%,0.57,0.0%,83.1%,0.0%,49.4%,29.9%,9.8%,1.0,5.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,53.91781,-122.79478700000001,,,0,True,True,0.0
Parkview Place,98IEB,Interior Health,HA,707 3rd Ave,Enderby,V0E1V0,Community Care & Assisted Living Act,Accredited,2.86,0.36,3.22,2.86,0.38,3.24,31,31,0,0,0,0,1,0,0,0,0,0,0,0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87,63.1%,69.4%,0.6%,500,26.4%,23.1%,30.6%,68.6%,8.3%,2.5,51.2%,0.58,0.0%,50.4%,0.0%,57.0%,20.5%,9.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.5466217,-119.1407493,,,0,True,True,0.0
Peace Portal Seniors Village,9C47I,Fraser Health,PFP,15441 - 16th Avenue,Surrey,V4A8T8,Community Care & Assisted Living Act,Accredited,2.45,0.28,2.73,2.67,0.28,2.95,84,67,7,0,0,0,1,0,13,0,0,5,2,0,1.2,0.0,15.5,0.0,0.0,6.0,2.4,0.0,87,71.3%,71.3%,0.5%,535,35.5%,25.5%,35.5%,61.7%,8.5%,2.9,47.5%,0.53,3.5%,48.2%,0.0%,46.1%,15.2%,15.8%,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,49.031282,-122.7945296,,,0,True,True,0.6785714285714286
Peace Villa,9BDGA,Northern Health,HA,8407 112 Avenue,Fort St John,V1J0J5,Community Care & Assisted Living Act,Accredited,3.31,0.28,3.58,3.16,0.28,3.44,124,124,0,0,0,0,0,0,5,0,0,0,3,0,0.0,0.0,4.0,0.0,0.0,0.0,2.4,0.0,81,62.8%,41.8%,10.0%,932,7.9%,27.0%,22.7%,58.7%,5.7%,2.8,38.5%,0.57,0.0%,0.5%,0.5%,40.7%,37.2%,19.8%,4.0,8.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,56.25673199999999,-120.81792,,,0,True,True,0.0
Piccadilly Seniors Community,931AA,Interior Health,PFP,821 10th Avenue SW,Salmon Arm,V1E1T2,Community Care & Assisted Living Act,Accredited,2.8,0.35,3.15,2.95,0.35,3.3,59,46,7,0,0,0,0,1,9,0,0,0,4,1,0.0,1.7,15.3,0.0,0.0,0.0,6.8,1.7,89,58.8%,73.4%,2.4%,574,28.0%,22.9%,33.6%,61.2%,7.0%,3.6,22.4%,0.58,0.0%,0.0%,0.0%,51.4%,20.4%,4.7%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.692591,-119.29439599999999,,,0,True,True,0.13559322033898305
Pine Acres Home,9BDAH,Interior Health,PNP,1902 Pheasant Lane,Westbank,V4T2H4,Community Care & Assisted Living Act,Accredited,2.8,0.35,3.15,2.8,0.35,3.15,63,33,5,0,0,0,0,2,6,0,0,0,4,0,0.0,3.2,9.5,0.0,0.0,0.0,6.3,0.0,80,49.2%,35.0%,12.3%,725,17.2%,18.5%,25.6%,73.1%,5.0%,2.7,42.9%,0.54,1.3%,11.3%,7.1%,35.7%,51.7%,4.9%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.839286,-119.59551,,,0,True,True,0.36507936507936506
Pine Grove Seniors Community,9A9G2,Interior Health,PFP,313 Mcgowan Street,Kamloops,V2B2N8,Community Care & Assisted Living Act,Unknown,2.8,0.35,3.15,2.99,0.35,3.34,75,14,31,0,1,0,2,0,8,0,0,1,3,1,2.7,0.0,10.7,0.0,0.0,1.3,4.0,1.3,87,74.2%,62.8%,2.0%,395,29.1%,37.0%,29.8%,63.3%,7.6%,3.2,38.8%,0.62,11.8%,9.3%,0.0%,50.9%,17.2%,9.1%,1.0,5.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,50.64479145,-120.3440998,,,0,True,True,0.0
Pinegrove Place,9AG59,Vancouver Coastal Health,PNP,11331 Mellis Drive,Richmond,V6X1L8,Community Care & Assisted Living Act,Accredited,2.61,0.28,2.89,2.86,0.29,3.15,76,76,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,84,58.6%,57.4%,4.0%,"1,742",24.5%,46.2%,37.4%,72.0%,12.6%,1.8,69.8%,0.59,0.3%,65.4%,0.3%,46.9%,20.1%,9.2%,5.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,49.1867925,-123.0984471,,,0,True,True,0.0
Pleasant Valley Manor,9BJG5,Interior Health,HA,3800 Patten Dr.,Armstrong,V0E1B2,Hospital Act,Accredited,2.93,0.31,3.24,2.93,0.31,3.24,82,82,0,0,0,0,0,1,9,0,0,1,1,0,0.0,1.2,11.0,0.0,0.0,1.2,1.2,0.0,87,64.1%,72.0%,4.0%,601,28.6%,43.2%,23.5%,72.9%,5.1%,3.0,38.1%,0.59,0.9%,71.4%,0.0%,51.2%,25.4%,11.8%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.43928579999999,-119.2079969,,,0,True,True,0.0
Point Grey Private Hospital,9995A,Vancouver Coastal Health,PFP,2423 Cornwall Avenue,Vancouver,V6K1B9,Hospital Act,Not Accredited,2.62,0.13,2.75,2.72,0.13,2.85,72,31,20,0,0,0,1,0,2,0,0,0,0,1,1.4,0.0,2.8,0.0,0.0,0.0,0.0,1.4,86,60.4%,64.3%,0.4%,749,30.5%,29.7%,27.1%,75.1%,12.6%,3.6,29.0%,0.59,3.3%,0.0%,1.1%,55.8%,24.7%,32.7%,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,49.2724948,-123.1496031,,,0,True,False,0.06944444444444445
