FACILITY_NAME,HCC_CODE,HLTH_AUTH,OWNERSHIP,STREET_ADDRESS,CITY,POSTAL,PHONE,OPERATOR_NAME,OPEN_DATE,COUNCIL,MEETINGS_HELD,PARKING_COSTS,REGULATION,ACCRED_STATUS,ACCRED_EXPIRY,COMPLAINT_CONTACT,COMPLAINT_PHONE,SPENDING_ACCOUNT,FOOD_SERVICE,FOOD_PREP,FOOD_COST_LASTYR,FOOD_COST_CURRENTYR,LANGUAGES,DCH_NURSE_LASTYR,DCH_ALLIED_LASTYR,DCH_TOTAL_LASTYR,DCH_NURSE_CURRENTYR,DCH_ALLIED_CURRENTYR,DCH_TOTAL_CURRENTYR,FEES_CABLE,FEES_TELE,FEES_INTERNET,FEES_OTHER,BEDS_PRIVATE,BEDS_PUBLIC,BEDS_TOTAL,ROOMS_PRIVATE,ROOMS_SEMI,ROOMS_MULTI,COMPLAINTS,SUB_COMPLAINTS,INCIDENT_OUTBREAK,INCIDENT_ABUSE,INCIDENT_FALL,INCIDENT_POISON,INCIDENT_MEDICATION,INCIDENT_WANDERING,INCIDENT_INJURY,INCIDENT_AGGRESSION,INCIDENT_OUTBREAK_100,INCIDENT_ABUSE_100,INCIDENT_FALL_100,INCIDENT_POISON_100,INCIDENT_MEDICATION_100,INCIDENT_WANDERING_100,INCIDENT_INJURY_100,INCIDENT_AGGRESSION_100,ADVERSE_EVENT,AGE,FEMALE,AGE_85_PLUS,AGE_UNDER_65,STAY_LENGTH,DEPRESSION,ADL_DEPENDENT,CPS_SEVERE,DEMENTIA,ABS_PHYS_ABUSIVE,ISE,ISE_LOW,CMI,THERAPY_PT,THERAPY_RT,THERAPY_OT,MEDS_DEPRESSION,MEDS_ANTIPSYCHOTICS,RESTRAINTS,WEBPAGE,SURVEY_URL,MISSING_SURVEY,CONTRACTED_NURSING,CONTRACTED_CARE_AIDES,CONTRACTED_HOUSEKEEPING,CONTRACTED_PLANT,PER_DIEM_LASTYR,PER_DIEM_CURRENTYR,INSPECTIONS,INFRACTIONS,INFRACTIONS_LICENSING,INFRACTIONS_FACILITY,INFRACTIONS_STAFFING,INFRACTIONS_POLICY,INFRACTIONS_CARE,INFRACTIONS_DISEASE,INFRACTIONS_FOOD,INFRACTIONS_MEDICATION,INFRACTIONS_PROGRAM,INFRACTIONS_REPORTING,INFRACTIONS_RIGHTS,INFRACTIONS_OTHER,latitude,longitude,cleaned_name,Facility Name,Total Confirmed Cases,Total Deaths,outbreak
Braddan Private Hospital,91997,Vancouver Coastal Health,PFP,2450 West 2nd Ave,Vancouver,V6K1J6,(604) 731-2127,The Care Group,1979,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Hospital Act,Not Accredited,not applicable,Care Coordinator / Administrator,(604) 731-2121x3,Yes,Operator,Yes,$7.16,$7.17,"English, Spanish, Tagalog, Mandarin, Cantonese, Vietnamese, French, Greek, Polish",2.69,0.12,2.81,2.72,0.12,2.84,No,No,No,"Hairdressing, foot care",2,60,62,22,20,0,0,0,0,1,3,0,1,2,0,0,0.0,1.6,4.8,0.0,1.6,3.2,0.0,0.0,not applicable,85,78.7%,63.6%,1.6%,"1,111",13.3%,26.1%,17.8%,54.4%,3.3%,2.1,61.0%,0.54,0.0%,71.8%,0.0%,36.9%,8.0%,14.7%,http://tcgcare.com/braddanprivatehospital,https://surveybcseniors.org/carehomeresults/braddan-private-hospital-vcha/,,Yes,No,No,Yes,$213.96,$216.08,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.2697848,-123.1610416529879,braddan private hospital,,,,0
Bradley Center,9A6JG,Fraser Health,HA,45600 Menholm Rd,Chilliwack,V2P1P7,(604) 795-4102,Fraser Health,,Resident Council,Regular Schedule,Yes (fee charged),Hospital Act,Unknown,not available,Manager - Kim Norman,(604) 795-4103,Yes,Outside Contractor,Yes,$8.88,$8.20,"English, Cantonese, Mandarin, Punjabi",3.02,0.23,3.25,3.02,0.23,3.25,No,No,Yes,Escorts to medical appointments if required,0,90,90,8,1,20,0,0,0,0,1,0,0,0,0,0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,not applicable,87,69.3%,69.5%,5.2%,648,19.0%,25.2%,19.7%,48.0%,4.1%,2.7,46.9%,0.59,0.3%,41.8%,0.7%,51.4%,25.4%,9.0%,https://www.fraserhealth.ca/Service-Directory/Service-At-Location/C/7/residential-care----bradley-centre#.XROIuUmouUk,https://surveybcseniors.org/carehomeresults/bradley-center-fha/,,No,No,Yes,No,,,1.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,49.16730645,-121.96485716719084,bradley center,,,,0
Brandt's Creek Mews,937BA,Interior Health,PFP,2081 Cross Rd,Kelowna,V1V2G2,(778) 478-8800,Vantage Living Inc,2009,Resident & Family Council (combined),Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,January 2021,Community Administrator,(778) 478-8800,Yes,Operator,Yes,$6.15,$6.40,"English, French, German, Punjabi, Filipino, Russian, Polish",2.8,0.35,3.15,3.0,0.35,3.35,No,No,No,"Hairdresser, Foot care nurse, Dental hygienist",2,100,102,102,0,0,0,0,2,0,11,0,1,0,0,4,2.0,0.0,10.8,0.0,1.0,0.0,0.0,3.9,not applicable,84,70.5%,50.8%,4.7%,715,57.3%,26.1%,33.8%,81.3%,24.9%,2.8,48.0%,0.59,17.7%,59.0%,15.3%,59.7%,6.8%,10.6%,https://vantageliving.ca/community/brandts-creek-mews/,https://surveybcseniors.org/carehomeresults/brandts-creek-mews-iha/,,No,No,No,No,$211.01,$220.68,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.920084100000004,-119.4354247,brandt's creek mews,,,,0
Brentwood House,93290,Vancouver Island Health,PNP,1167 Stelly's Cross Road,Brentwood Bay,V8M1H4,(250) 652-0634,Beacon Community Services,2007,Resident & Family Council (combined),Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,September 2020,Manager,(250) 217-3467,Yes,Operator,Yes,$7.49,$9.23,English,2.89,0.01,2.9,2.61,0.29,2.9,No,No,No,,2,15,17,17,0,0,3,1,0,0,2,0,0,0,1,1,0.0,0.0,11.8,0.0,0.0,0.0,5.9,5.9,not applicable,86,68.2%,54.5%,0.0%,237,15.0%,0.0%,8.3%,98.3%,0.0%,5.2,3.3%,0.50,0.0%,0.0%,0.0%,43.3%,7.7%,0.0%,https://beaconcs.ca/services-programs/respite-care/dementia-care-homes/,https://surveybcseniors.org/carehomeresults/brentwood-house-island/,,Some,Some,No,No,$187.42,$190.95,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.5794252,-123.4509233,brentwood house,,,,0
Broadway Pentecostal Lodge,9A9CE,Vancouver Coastal Health,PNP,1377 Lamey's Mill Rd,Vancouver,V6H3S9,(604) 733-1441,Broadway Pentecostal Care Association,1981,Resident Council,Regular Schedule,No ,Community Care & Assisted Living Act,Not Accredited,not applicable,Administrator,(604) 733-1441 x 236,Yes,Operator,Yes,$7.76,$8.55,"Punjabi, Tagalog, Vietnamese, Mandarin, Cantonese, Yoruba, Spanish, German, Polish, Farsi, Fant Ashanti, Serbian, French, Hindi",2.64,0.31,2.95,2.78,0.31,3.09,No,No,No,Admin fees,0,114,114,114,0,0,3,2,0,0,14,0,0,8,0,2,0.0,0.0,12.3,0.0,0.0,7.0,0.0,1.8,not applicable,82,44.5%,40.1%,5.5%,753,25.4%,28.2%,28.9%,65.3%,5.9%,2.7,45.1%,0.53,0.4%,64.6%,0.0%,39.7%,38.0%,7.1%,http://broadwaylodge.ca/,https://surveybcseniors.org/carehomeresults/broadway-pentecostal-lodge-vcha/,,No,No,No,No,$208.53,$217.93,6.0,8.0,0.0,2.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.2674372,-123.13437250000001,broadway pentecostal lodge,,,,0
Brocklehurst Gemstone Care Centre,93E9A,Interior Health,PFP,1955 Tranquille Road,Kamloops,V2B3M4,(778) 470-2596,Trellis Seniors Services Ltd.,2013,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,October 2019,General Manager,(778) 470-2596x101,Yes,Outside Contractor,Yes,$8.80,$8.70,"English, Filipino",2.8,0.35,3.15,2.97,0.35,3.32,No,No,Yes,,5,125,130,126,4,0,0,0,0,0,31,0,1,0,6,3,0.0,0.0,23.8,0.0,0.8,0.0,4.6,2.3,not applicable,85,68.8%,58.4%,2.8%,918,25.7%,28.5%,18.8%,68.1%,9.3%,2.7,47.5%,0.55,0.0%,0.4%,0.0%,54.7%,28.0%,10.3%,http://www.brockgemstone.ca/,https://surveybcseniors.org/carehomeresults/brocklehurst-gemstone-care-centre-iha/,,Yes,Yes,Yes,No,$208.62,$217.15,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,50.6997303,-120.39999250000001,brocklehurst gemstone care centre,,,,0
Brookhaven Care Centre,917I9,Interior Health,HA,1775 Shannon Lake Rd,West Kelowna,V4T2N7,(250) 862-4040,Interior Health,1995,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Hospital Act,Accredited,September 2019,Resident Care Coordinator,(250) 862-4040,Yes,Outside Contractor,Yes,$8.76,$9.40,"English, French, Filipino, Hungarian, German, Spanish, Russian",2.82,0.34,3.16,3.03,0.39,3.42,No,No,No,,0,84,84,0,0,0,0,0,1,1,16,0,0,0,3,2,1.2,1.2,19.0,0.0,0.0,0.0,3.6,2.4,not applicable,83,56.6%,55.2%,7.9%,645,28.0%,36.0%,32.5%,72.8%,10.2%,2.5,54.8%,0.59,8.1%,67.5%,51.6%,63.7%,26.8%,0.0%,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/service.aspx?svcloc=Brookhaven,https://surveybcseniors.org/carehomeresults/brookhaven-care-centre-iha/,,No,No,No,No,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.8648276,-119.58960049999999,brookhaven care centre,,,,0
Brookside Lodge,937F0,Fraser Health,PFP,19550 Fraser Highway,Surrey,V3S6K5,(604) 530-6595,Sienna Senior Living,2009,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Unknown,not available,General Manager,(604) 530-6595 x 101,Yes,Operator,Yes,$8.00,$8.94,"English, Spanish, Hindi, Cantonese, Punjabi, Filipino , Hungarian",2.66,0.23,2.89,2.97,0.39,3.36,No,No,Yes,,14,89,103,93,5,0,0,0,1,1,8,0,0,3,0,1,1.0,1.0,7.8,0.0,0.0,2.9,0.0,1.0,not applicable,80,59.5%,47.1%,15.1%,946,11.5%,18.4%,19.1%,66.5%,8.9%,2.9,41.9%,0.60,12.4%,53.8%,1.7%,54.3%,21.4%,4.2%,https://www.siennaliving.ca/long-term-care/british-columbia/brookside-lodge-care-community,https://surveybcseniors.org/carehomeresults/brookside-lodge-fha/,,No,No,No,No,$202.52,$229.34,8.0,13.0,0.0,3.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,49.114096999999994,-122.681031,brookside lodge,,,,0
Buchanan Lodge,9A500,Fraser Health,PNP,409 Blair Ave,New Westminster,V3L4A4,(604) 522-7033,Governing Council of the Salvation Army in Canada,1997,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Unknown,not available,Famella Altejos,(604) 517-4125,Yes,Operator,Yes,$7.98,$7.86,"English, Mandarin, Cantonese, Hindi, Persian, Hebrew, Italian",2.71,0.35,3.06,2.76,0.36,3.12,No,No,Yes,,0,112,112,104,4,0,1,0,3,2,10,0,0,2,1,1,2.7,1.8,8.9,0.0,0.0,1.8,0.9,0.9,not applicable,86,69.2%,60.0%,3.3%,"1,386",13.7%,39.9%,26.7%,67.0%,8.4%,2.2,62.0%,0.57,8.4%,2.3%,0.2%,39.6%,19.4%,12.6%,http://buchanan-lodge.com/,https://surveybcseniors.org/carehomeresults/buchanan-lodge-fha/,,No,No,,,$201.99,$207.77,3.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,49.22877315,-122.89808629846813,buchanan lodge,,,,0
Bulkley Lodge,9BDH1,Northern Health,HA,3668 11th Avenue,Smithers,V0J2N0,(250) 847-4443,Northern Health,1978,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,June 2022,Clinical Practise Lead / Residential Care Manager,(250) 876-4543 / (250) 876-4548,No,Operator,Yes,$10.47,$10.21,"English, Dutch, Polish",3.4,0.46,3.85,3.13,0.32,3.45,No,No,No,,0,70,70,67,3,0,0,0,0,2,0,0,0,0,1,0,0.0,2.9,0.0,0.0,0.0,0.0,1.4,0.0,not applicable,82,55.0%,45.0%,6.5%,734,15.6%,21.1%,20.4%,45.6%,6.1%,2.8,45.6%,0.55,0.0%,63.9%,38.1%,51.0%,28.7%,22.4%,https://www.northernhealth.ca/locations/long-term-care/bulkley-lodge,https://surveybcseniors.org/carehomeresults/bulkley-lodge-nha/,,,,,,,,4.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,54.779299,-127.15818999999999,bulkley lodge,,,,0
Cairnsmore Place,9A5F3,Vancouver Island Health,HA,250 Cairnsmore Street,Duncan,V9L4H2,(250) 709-3080,Vancouver Island Health,1965,Resident & Family Council (combined),Scheduled as needed,Yes (no fee),Hospital Act,Accredited,April 2022,Manager,(250) 709-3080,Yes,Operator,No,$10.90,$11.41,"English, Punjabi",2.86,0.36,3.22,2.86,0.36,3.22,Yes,No,No,Clothing labelling fee,0,100,100,8,4,21,2,0,,,,,,,,,,,,,,,,,0,83,68.3%,49.4%,5.8%,752,27.0%,33.0%,18.7%,57.0%,1.7%,3.7,29.3%,0.64,63.3%,0.0%,41.0%,56.3%,18.1%,5.5%,https://cdhfoundation.ca/about-us/cairnsmore-place/,https://surveybcseniors.org/carehomeresults/cairnsmore-place-island/,,No,No,Yes,No,,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.785497899999996,-123.71063329999998,cairnsmore place,,,,0
Capilano Care Centre,9C414,Vancouver Coastal Health,PFP,525 Clyde Avenue,West Vancouver,V7T1C4,(604) 926-6856,Revera Long Term Care Inc.,1992,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Hospital Act & Community Care & Assisted Living Act,Accredited,May 2020,Director of Care,(604) 926-6856 #337,Yes,Outside Contractor,Yes,$5.96,$6.39,"Farsi, Russian, Arabic, Cantonese, Mandarin, Hindi, German, Cree, Korean, Kutchi, Sureth, Filipino, French",2.58,0.2,2.78,2.76,0.2,2.96,No,No,Yes,,0,205,205,76,48,11,2,0,1,0,38,0,0,4,3,30,0.5,0.0,18.5,0.0,0.0,2.0,1.5,14.6,not applicable,84,69.0%,54.6%,4.0%,"1,076",46.6%,19.0%,32.8%,74.4%,9.1%,2.9,45.7%,0.56,0.3%,29.6%,0.3%,59.6%,19.0%,0.7%,https://www.reveraliving.com/long-term-care/locations/capilano,https://surveybcseniors.org/carehomeresults/capilano-care-centre-vcha/,,No,No,Yes,Yes,$207.83,$214.69,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,49.329066,-123.13,capilano care centre,,,,0
CareLife Fleetwood,9A5AD,Fraser Health,HA,8265 159th Street,Surrey,V4N5T5,(604) 598-7200,Fraser Health,2008,Resident Council,Regular Schedule,Yes (no fee),Hospital Act,Unknown,not available,Resident Care Coordinator / Manager,(604) 598-7200,Yes,Outside Contractor,Primarily,$6.56,$6.83,"English, Hindi, Punjabi, Filipino, Urdu, Polish, French, German, Mandarin, Romanian, Cantonese, Greek",3.78,0.4,4.19,3.78,0.4,4.18,No,No,No,,0,191,191,167,12,0,1,0,1,0,3,0,0,1,1,0,0.5,0.0,1.6,0.0,0.0,0.5,0.5,0.0,not applicable,80,60.7%,47.5%,16.3%,"1,111",12.9%,43.5%,29.6%,37.5%,7.8%,2.3,57.9%,0.67,26.6%,47.6%,21.7%,43.1%,22.3%,4.6%,https://www.fraserhealth.ca/Service-Directory/Service-At-Location/5/3/carelife-fleetwood---residential-care#.XRObHkmouUk,https://surveybcseniors.org/carehomeresults/carelife-fleetwood-fha/,,No,No,Yes,No,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.1527,-122.7822,carelife fleetwood,,,,0
Cariboo Place,93GGE,Interior Health,PFP,185 Fourth Ave N,Williams Lake,V2G2C8,(778) 417-0275,Vantage Living Inc,2019,Resident & Family Council (combined),Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,January 2021,Raj Salaria,778-417-0275 ext 142,Yes,Operator,Yes,,,"English, Hindi, Punjabi, Mandarin",,,,,,,No,No,No,"Equipment for exclusive use of the client, specialized equipment, foot care, hair dressing",2,70,72,72,0,0,,,,,,,,,,,,,,,,,,,not applicable,,,,,,,,,,,,,,,,,,,,https://vantageliving.ca/community/cariboo-place/,,This facility did not exist yet when the Residential Care Survey was conducted.,No,No,No,Yes,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.131127899999996,-122.14175300000001,cariboo place,,,,0
Carlton Gardens Care Centre,99FE5,Fraser Health,PFP,4108 Norfolk Street,Burnaby,V5G0B4,(604) 419-3000,Chartwell Retirement Residences,2012,"Resident Council, Family Council",Scheduled as needed,Yes (fee charged),Community Care & Assisted Living Act,Accredited,2021,General Manager,(604) 419-3007,Yes,Outside Contractor,Yes,$7.03,$6.98,"French, Amharic, Cantonese, Croatian, Italian, Japanese, Korean, Punjabi, Spanish, Tagalog, Vietnamese, English",2.53,0.29,2.82,3.0,0.36,3.36,No,No,No,Specialty products,11,117,128,120,4,0,0,0,2,1,12,0,0,1,0,2,1.6,0.8,9.4,0.0,0.0,0.8,0.0,1.6,not applicable,84,67.6%,53.5%,1.8%,723,7.5%,26.6%,25.5%,70.7%,21.2%,1.8,69.2%,0.55,1.9%,4.0%,0.2%,47.5%,27.3%,4.6%,https://chartwell.com/en/retirement-residences/chartwell-carlton-retirement-residence/overview,https://surveybcseniors.org/carehomeresults/carlton-gardens-care-centre-fha/,,Yes,Yes,Yes,Yes,$219.71,$248.81,3.0,6.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,49.2550436,-123.0128497,carlton gardens care centre,,,,0
Cartier House Seniors Community,992EJ,Fraser Health,PFP,1419 Cartier St,Coquitlam,V3K2C6,(604) 939-4654,Park Place Seniors Living Inc.,1974,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Unknown,not available,Site Leader / Director of Care,(604) 939-4654,Yes,Operator & Outside Contractor,Yes,$5.62,$5.96,"English, Tagalog, Cantonese, Mandarin, Hindi, Punjabi, ",2.43,0.3,2.73,2.67,0.3,2.97,No,No,No,,0,78,78,30,24,0,1,1,2,1,8,0,0,0,0,0,2.6,1.3,10.3,0.0,0.0,0.0,0.0,0.0,not applicable,88,83.1%,68.8%,1.6%,346,40.2%,24.8%,26.7%,74.3%,10.6%,2.6,51.1%,0.59,4.2%,27.3%,0.6%,49.2%,23.7%,8.3%,https://www.parkplaceseniorsliving.com/find-a-location/british-columbia/lower-mainland/cartier-house/,https://surveybcseniors.org/carehomeresults/cartier-house-fha/,,Yes,Yes,Yes,,$200.69,$212.96,2.0,5.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.28317715,-122.78734899022074,cartier house seniors community,,,,0
Castleview Care Centre,9C017,Interior Health,PFP,2300 14th Ave.,Castlegar,V1N4A6,(250) 365-7277,Chantelle Management Ltd,1991,Resident & Family Council (combined),Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Unknown,not available,Administrator,(250) 365-7277,Yes,Operator,Yes,$8.56,$9.00,"English, Russian",2.8,0.35,3.15,3.0,0.35,3.35,No,No,No,Clothing labelling fee,16,45,61,61,0,0,0,0,1,0,7,0,0,1,1,1,1.6,0.0,11.5,0.0,0.0,1.6,1.6,1.6,not applicable,85,68.2%,57.1%,2.5%,722,39.7%,15.4%,18.4%,87.5%,5.1%,3.8,16.2%,0.57,76.5%,57.4%,0.0%,59.6%,10.6%,0.0%,https://www.chantellegroup.com/castleview.htm,https://surveybcseniors.org/carehomeresults/castleview-care-centre-iha/,,No,No,No,No,$196.19,$205.89,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.2881065,-117.6624447,castleview care centre,,,,0
Cedarview Lodge,9AF9E,Vancouver Coastal Health,HA,1200 Cedar Village Close,North Vancouver,V7J3P3,(604) 904-6400,Vancouver Coastal Health,1982,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,September 2020,Site Manager,(604) 904-6404,Yes,Operator & Outside Contractor,Yes,$7.90,$8.06,"English, Farsi, Tagalog, Korean, Polish, Mandarin, Japanese, Russian, Cantonese",2.8,0.24,3.04,2.8,0.24,3.04,No,No,No,,0,89,89,89,0,0,0,0,0,0,6,0,0,2,0,0,0.0,0.0,6.7,0.0,0.0,2.2,0.0,0.0,not applicable,84,64.2%,54.1%,2.3%,968,22.4%,33.3%,45.8%,81.6%,7.5%,2.3,62.3%,0.54,3.4%,54.2%,2.2%,68.2%,49.7%,13.5%,http://www.vch.ca/locations-services/result?res_id=16,https://surveybcseniors.org/carehomeresults/cedarview-lodge-vcha/,,No,No,Yes,No,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.326053,-123.04,cedarview lodge,,,,0
Central City Lodge,99A78,Vancouver Coastal Health,PNP,415 West Pender St,Vancouver,V6B1V2,(604) 681-9111,City Centre Care Society,1993,Resident Council,Regular Schedule,No,Community Care & Assisted Living Act,Not Accredited,not applicable,Director of Operations,(604) 639-8230,Yes,Operator,Yes,$7.13,$6.70,"English, French, Spanish, Farsi, Hindi, Japanese, Korean, Mandarin, Cantonese, Vietnamese, Tagalog, Punjabi, Greek",2.59,0.32,2.91,2.89,0.32,3.21,No,No,No,,0,100,100,84,8,0,0,0,2,0,5,2,0,3,1,1,2.0,0.0,5.0,2.0,0.0,3.0,1.0,1.0,not applicable,70,19.7%,6.7%,30.9%,"1,481",32.0%,15.6%,24.2%,52.8%,9.5%,3.0,39.1%,0.54,19.8%,65.3%,7.3%,58.9%,34.2%,9.2%,https://cccares.org/residential-care/,https://surveybcseniors.org/carehomeresults/central-city-lodge-vcha/,,No,No,No,No,$217.14,$232.76,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.28313320000001,-123.1119351,central city lodge,"Central City Lodge, LTCF",1.0,0.0,1
Cerwydden Seniors Community,9244A,Vancouver Island Health,PFP,3243 Cowichan Lake R,Duncan,V9L4B8,(250) 746-4432,Park Place Seniors Living Inc.,2000,"Resident Council, Family Council",Regular Schedule,,Community Care & Assisted Living Act,Unknown,not available,,,,Outside Contractor,Yes,$6.51,$7.47,,3.02,0.12,3.14,3.03,0.13,3.16,No,No,No,,4,52,56,44,6,0,1,1,1,1,9,0,0,1,0,0,1.8,1.8,16.1,0.0,0.0,1.8,0.0,0.0,not applicable,87,79.2%,63.8%,3.3%,839,17.8%,22.2%,22.7%,61.8%,7.6%,2.6,48.9%,0.57,1.3%,0.0%,0.4%,51.6%,17.1%,2.5%,https://www.parkplaceseniorsliving.com/find-a-location/british-columbia/vancouver-island/cerwydden/,https://surveybcseniors.org/carehomeresults/cerwydden-care-home-island/,,Yes,Yes,Yes,Yes,$227.94,$234.17,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,48.77872,-123.69876,cerwydden seniors community,,,,0
Chemainus Health Care Centre,9BF66,Vancouver Island Health,HA,9909 Esplanade Street,Chemainus,V0R1K1,(250) 737-2040 ,Vancouver Island Health,1994,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Hospital Act,Accredited,April 2022,Manager,(250) 737-2040x42231,Yes,Operator,Yes,$9.77,$9.83,"English, French, Tagalog",2.81,0.35,3.16,2.81,0.35,3.16,No,No,No,Clothing labelling fee,0,75,75,55,10,0,1,0,,,,,,,,,,,,,,,,,3,86,80.3%,64.9%,4.0%,808,25.7%,33.3%,26.0%,65.3%,4.0%,3.5,35.3%,0.58,29.0%,0.3%,9.3%,66.3%,18.1%,7.4%,https://www.islandhealth.ca/our-locations/long-term-care-locations/chemainus-health-care-centre-long-term-care,https://surveybcseniors.org/carehomeresults/chemainus-health-care-centre-island/,,,,,,,,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.927226,-123.71591299999999,chemainus health care centre,,,,0
Cherington Place,9B889,Fraser Health,PFP,13453 111A Ave,Surrey,V3R2C5,(604) 581-2885,Belvedere Seniors Living,1960,Resident Council,Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Unknown,not available,Director of Care,(604) 581-2885,No,Outside Contractor,Yes,$8.87,$7.94,"Arabic, Cantonese, Czech, French, German, English, Hindi, Mandarin, Punjabi, Spanish, Tagalog, Urdu, Korean",2.47,0.31,2.79,2.64,0.31,2.95,No,No,No,,0,75,75,33,21,0,3,1,1,0,4,0,0,0,0,1,1.3,0.0,5.3,0.0,0.0,0.0,0.0,1.3,not applicable,87,72.3%,65.9%,1.8%,353,20.7%,20.7%,25.4%,68.2%,5.7%,3.6,27.5%,0.56,1.3%,20.4%,0.7%,43.5%,16.0%,5.1%,https://belvederebc.com/cherington-place/,https://surveybcseniors.org/carehomeresults/cherington-place-fha/,,No,No,,,$199.68,$208.95,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.205653000000005,-122.84933400000001,cherington place,,,,0
Chetwynd Hospital and Health Centre,922CD,Northern Health,HA,5500 Hospital road,Chetwynd,V0C1J0,(250) 788-2236,Northern Health,1971,No Councils,,Yes (no fee),Hospital Act,Accredited,June 2022,Health Service Administrator,(250) 788-7243,No,Outside Contractor,No,$20.10,$19.88,"English, French, German, Hausa, Swahili, Kikuyu, Afrikaans, Tagalog, Visayan, Spanish",3.29,0.26,3.55,3.66,0.27,3.93,No,No,No,,0,7,7,7,0,0,,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not applicable,79,88.6%,36.4%,9.1%,897,59.1%,27.3%,13.6%,18.2%,0.0%,3.5,31.8%,0.60,9.1%,4.5%,0.0%,63.6%,26.1%,0.0%,https://www.northernhealth.ca/locations/long-term-care/chetwynd-hospital-and-health-centre,,Residential care survey results for facilities with fewer than 10 respondents are not accessible.,No,No,No,No,,,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,55.695632999999994,-121.64530400000001,chetwynd hospital and health centre,,,,0
