OPERATOR_NAME,BUSINESS_NAME,TYPE,STREET_ADDRESS,CITY,POSTAL_CODE,BUSINESS_PHONE,INSPECTION_URL,GOVERNING_ACT,GOVERNING_REGULATION,HEALTH_AUTHORITY,MENTAL_HEALTH,MENTAL_HEALTH_MAX_CAP,HOSPICE,HOSPICE_MAX_CAP,SUBSTANCE_USE,SUBSTANCE_USE_MAX_CAP,LONG_TERM_CARE,LONG_TERM_CARE_MAX_CAP,COMMUNITY_LIVING,COMMUNITY_LIVING_MAX_CAP,ACQUIRED_BRAIN_INJURY,ACQUIRED_BRAIN_INJURY_MAX_CAP,LONGITUDE,LATITUDE
North Shore Connexions Society,Carnation House,Residential Care,2524 Carnation Street ,North Vancouver,V7H 1H5,604-929-0636,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.0045886,49.3183187
North Shore Connexions Society,Edgemont House,Residential Care,2490 Edgemont Blvd ,North Vancouver,V7R 2M8,(604) 984-9321,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.0948838,49.3328531
Inclusion Powell River Society,Scotia Place,Residential Care,4314 Scotia Place ,Powell River,V8A 2X2,(604) 485-0925,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-124.5216544,49.8326712
Greater Vancouver Community Services Society,Coleman Street Group Home,Residential Care,1693 Coleman St ,North Vancouver,V7K 1X2,(604) 984-4236,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.0254987,49.3504116
Veronica Sindayen,Starburst Home Care,Residential Care,665 E 27th Ave ,Vancouver,V5V 2K7,(604) 565-5158,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,3,N,,-123.0909955,49.2468922
Cathryn Helen Jordan,Bowness Residence,Residential Care,4909 Bowness Avenue ,Powell River,V8A 3S6,604-485-2291,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,5,N,,-124.5073861,49.8490901
Richmond Society for Community Living,Woodwards Home,Residential Care,5728 Woodwards Road ,Richmond,V7E 1H1,(604) 277-1976,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.1592847,49.1437498
North Shore Disability Resource Society Association,Wilding Way,Residential Care,2412 Wilding Way ,North Vancouver,V7N 4J4,(604) 986-1260,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.0534125,49.3307307
Community Living Society,Maginnis Avenue,Residential Care,3660 Maginnis Avenue ,North Vancouver,V7K 2L6,604-983-3660,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.034142,49.3426871
Greater Vancouver Community Services Society,Fourth And Alma,Residential Care,3625 W 4th Ave ,Vancouver,V6R 1P2,(604) 731-4304,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.1845142,49.268865
Greater Vancouver Community Services Society,GVCSS - Steveston Group Home,Residential Care,10351 Steveston Hwy ,Richmond,V7A 1N3,(604) 277-4485,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,6,N,,-123.1096721,49.1337709
Sea to Sky Community Services,Our House,Residential Care,2620 Hoskins Road ,North Vancouver,V7J 3A3,(604) 904-1020,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.0257809,49.3323066
Developmental Disabilities Association of Vancouver-Richmond,47th Avenue Residence,Residential Care,1759 E 47th Ave ,Vancouver,V5P 1P6,(604) 325-0210,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,5,N,,-123.070041,49.2279307
Sunshine Coast Association for Community Living,Medusa Street Residence,Residential Care,5832 Medusa Street ,Sechelt,V0N 3A3,604-885-8823,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,5,N,,-123.7650971,49.4749989
posAbilities Association of BC,Trillium House,Residential Care,2749 Wyat Pl ,North Vancouver,V7H 1K5,(604) 987-3558,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-122.9980666,49.3206867
Community Living Society,Newmarket Drive,Residential Care,2985 Newmarket Dr  ,North Vancouver,V7R 2T7,604-984-8058,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.1026853,49.3365841
Milieu Family Services Inc,Richmond House,Residential Care,8691 No. 2 Rd ,Richmond,V7C 3M4,(604) 271-2297,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,5,N,,-123.1593858,49.1492749
Community Living Society,Paisley House,Residential Care,3091 Paisley Rd ,North Vancouver,V7R 1C7,604-984-9685,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.1080939,49.3365668
Inclusion Powell River Society,Redonda Crescent Residence,Residential Care,4728 Redonda Avenue ,Powell River,V8A 5C9,604-485-7948,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-124.5131271,49.8440055
Greater Vancouver Community Services Society,Doman House,Residential Care,6985 Doman St ,Vancouver,V5S 3H9,(604) 439-7910,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,5,N,,-123.0371915,49.2203849
Community Living Society,Capilano Road,Residential Care,4537 Capilano Rd North ,Vancouver,V7R 4K2,604-980-3582,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.1074121,49.3532103
Thompson Community Services Inc,No. 5 Road Group Home,Residential Care,10731 No. 5 Road ,Richmond,V7A 4E6,(604) 271-0873,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.0926533,49.1340512
North Shore Connexions Society,Padwick House,Residential Care,1924 Jones Avenue ,North Vancouver,V7M 2W5,604-984-2238,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.0811369,49.3267725
Laurette Bloomquist,Crofton House,Residential Care,6945 Crofton Street ,Powell River,V8A 1W8,604-485-6803,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,5,N,,-124.522959,49.8366104
Developmental Disabilities Association of Vancouver-Richmond,Robinson Group Home,Residential Care,8400 Robinson Rd ,Richmond,V6Y 1B5,(604) 275-5854,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.1303718,49.1490998
Developmental Disabilities Association,6655a and 6655b Arlington Street,Residential Care,6655 Arlington St ,Vancouver,V5S 3P1,(604) 435-7308,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,10,N,,-123.0293827,49.2227284
Developmental Disabilities Association of Vancouver-Richmond,Camsell House,Residential Care,6631 Camsell Cres ,Richmond,V7C 2M9,(604) 241-9477,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,5,N,,-123.1558957,49.1698215
posAbilities Association of BC,East 61st Community House,Residential Care,648 E 61st Ave ,Vancouver,V5X 2B9,(604) 321-8501,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.0920388,49.2146808
Bernard C. Vinge & Associates (HCS) Ltd.,9511 Steveston Highway,Residential Care,9511 Steveston Hwy ,Richmond,V7A 1M7,(604) 275-2470,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,5,N,,-123.1212091,49.1337379
Western Human Resource Corp,Richfield Group Home,Residential Care,10591 Bissett Dr ,Richmond,V7A 4K8,(604) 271-2802,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,5,N,,-123.107216,49.1477141
Inclusion Powell River Society,Golden Avenue Residence,Residential Care,4574 Golden Avenue ,Powell River,V8A 2X5,604-485-0358,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-124.5216509,49.8396688
North Shore Connexions Society,Kilmer House,Residential Care,1434 Kilmer Road ,North Vancouver,V7K 1R2,604-985-4599,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,5,N,,-123.0341251,49.3463884
posAbilities Association of BC,38th Avenue Group Home,Residential Care,461 E 38th Ave ,Vancouver,V5W 1H8,(604) 322-9110,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.0949445,49.2364595
Strive Living Society,Blueridge House,Residential Care,2669 Standish Dr ,North Vancouver,V7H 1M9,(604) 924-1656,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.000264,49.3249901
Bethesda Christian Association,Bethesda West Richmond,Residential Care,10120 No. 1 Road ,Richmond,V7E 1S2,(604) 241-9757,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.1809197,49.1399135
Vancouver Resource Society,Yew Residence,Residential Care,6191 Yew St ,Vancouver,V6M 3Z1,(604) 569-1857,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,5,N,,-123.1590853,49.2300254
Helios Learning Point Society,Bridgit House,Residential Care,229 22nd St W ,North Vancouver,V7M 2A2,(604) 986-4888,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.0766187,49.3290462
Developmental Disabilities Association,Curzon House,Residential Care,7671 Curzon St ,Richmond,V7C 4H8,(604) 241-0528,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,5,N,,-123.1511773,49.1559857
North Shore Connexions Society,Lynn Valley House,Residential Care,1525/1527 Lynn Valley Road ,North Vancouver,V7J 2B1,604-990-0835,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,7,N,,-123.0310686,49.340396
Greater Vancouver Community Services Society,GVCSS - Williams Road Home,Residential Care,4811 Williams Rd ,Richmond,V7E 1J7,(604) 275-2489,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,6,N,,-123.1724487,49.1413308
posAbilities Association of BC,Lakeside House,Residential Care,3597 Gladstone St ,Vancouver,V5N 4Y8,(604) 874-5838,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,6,N,,-123.0604877,49.250461
Developmental Disabilities Association of Vancouver-Richmond,3381 Worthington,Residential Care,3381 Worthington Dr ,Vancouver,V5M 3X8,(604) 432-9377,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,5,N,,-123.0327623,49.2551157
Community Living Society,Ross Road Home,Residential Care,1680 Ross Rd  ,North Vancouver,V7J 1V4,604-984-7917,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.0277681,49.3362883
Community Living Society,Frederick Road,Residential Care,1075 Frederick Road ,North Vancouver,V7K 1H9,604-986-9238,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,3,N,,-123.0440175,49.3416966
Bethesda Christian Association,Bethesda South Richmond Home,Residential Care,10984 Springmont Gate ,Richmond,V7E 1Y4,(604) 241-2770,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.1915231,49.1340288
Community Living Society,Norwood House,Residential Care,3636 Norwood Ave ,North Vancouver,V7N 3P7,604-986-0718,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,3,N,,-123.0767595,49.3429472
Developmental Disabilities Association of Vancouver-Richmond,Azure Group Home,Residential Care,6531 Azure Rd ,Richmond,V7C 2S1,(604) 271-3338,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.1552752,49.163382
North Shore Connexions Society,Peters Road House,Residential Care,1904 Peters Road ,North Vancouver,V7J 1Y9,(604) 987-2221,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,5,N,,-123.0222214,49.341873
North Shore Disability Resource Centre Association,Loraine Avenue,Residential Care,3908 Loraine Ave ,North Vancouver,V7R 4B8,(604) 984-6190,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.1065884,49.3445873
WJS Canada,Gladstone Street Group Home,Residential Care,5425 Gladstone St ,Vancouver,V5P 4S1,(604) 321-4289,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,5,N,,-123.0623051,49.2356384
Cathryn Helen Jordan,Grief Point Residence,Residential Care,3463 Marine Avenue ,Powell River,V8A 2H4,604-485-2468,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,5,N,,-124.523903,49.8094775
North Shore Connexions Society,Larson House,Residential Care,1945 Larson Rd ,North Vancouver,V7M 2Z8,(604) 988-1295,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,5,N,,-123.0869418,49.3272174
Sea to Sky Community Services,Newport House,Residential Care,37948 3rd Ave ,Squamish,V8B 0A7,(604) 892-6336,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.156384,49.6982341
Community Living Society,East Keith Road House,Residential Care,317 Keith Road E ,North Vancouver,V7L 1V6,604-980-4849,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,3,N,,-123.0670847,49.3136203
Inclusion Powell River Society,Saanich House,Residential Care,5416 Saanich Avenue ,Powell River,V8A 4G9,(604) 483-7988,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,3,N,,-124.5218601,49.8629038
posAbilities Association of BC,Rosemont House,Residential Care,2702 Rosemont Dr ,Vancouver,V5S 2C5,(604) 451-8405,http://www.vch.ca/public-health/licensing/residential-care/inspection-reports,Community Care and Assisted Living Act,Residential Care Regulation,Vancouver Coastal Health,N,,N,,N,,N,,Y,4,N,,-123.0496436,49.2194742
