FACILITY_NAME,HCC_CODE,HLTH_AUTH,OWNERSHIP,STREET_ADDRESS,CITY,POSTAL,REGULATION,ACCRED_STATUS,DCH_NURSE_LASTYR,DCH_ALLIED_LASTYR,DCH_TOTAL_LASTYR,DCH_NURSE_CURRENTYR,DCH_ALLIED_CURRENTYR,DCH_TOTAL_CURRENTYR,BEDS_TOTAL,ROOMS_PRIVATE,ROOMS_SEMI,ROOMS_MULTI,COMPLAINTS,SUB_COMPLAINTS,INCIDENT_OUTBREAK,INCIDENT_ABUSE,INCIDENT_FALL,INCIDENT_POISON,INCIDENT_MEDICATION,INCIDENT_WANDERING,INCIDENT_INJURY,INCIDENT_AGGRESSION,INCIDENT_OUTBREAK_100,INCIDENT_ABUSE_100,INCIDENT_FALL_100,INCIDENT_POISON_100,INCIDENT_MEDICATION_100,INCIDENT_WANDERING_100,INCIDENT_INJURY_100,INCIDENT_AGGRESSION_100,AGE,FEMALE,AGE_85_PLUS,AGE_UNDER_65,STAY_LENGTH,DEPRESSION,ADL_DEPENDENT,CPS_SEVERE,DEMENTIA,ABS_PHYS_ABUSIVE,ISE,ISE_LOW,CMI,THERAPY_PT,THERAPY_RT,THERAPY_OT,MEDS_DEPRESSION,MEDS_ANTIPSYCHOTICS,RESTRAINTS,INSPECTIONS,INFRACTIONS,INFRACTIONS_LICENSING,INFRACTIONS_FACILITY,INFRACTIONS_STAFFING,INFRACTIONS_POLICY,INFRACTIONS_CARE,INFRACTIONS_DISEASE,INFRACTIONS_FOOD,INFRACTIONS_MEDICATION,INFRACTIONS_PROGRAM,INFRACTIONS_REPORTING,INFRACTIONS_RIGHTS,INFRACTIONS_OTHER,latitude,longitude,Total Confirmed Cases,Total Deaths,outbreak,RESIDENT_COUNCIL,FAMILY_COUNCIL,BEDS_PRIVATEprop,INCIDENT_OUTBREAK_100_CAT,INFRACTION_DISEASE_CAT
Mountainview Lodge - Kitimat General Hospital,9A630,Northern Health,HA,920 Lahakas Blvd. S,Kitimat,V8C2S3,Hospital Act,Accredited,3.13,0.27,3.41,3.02,0.43,3.45,36,32,2,0,,,0,0,1,0,0,0,0,0,0,0,2.8,0,0,0,0,0,82,73.60%,45.90%,5.00%,,47.60%,48.40%,41.10%,47.60%,0.80%,2.5,51.60%,0.62,0.00%,8.10%,0.00%,45.20%,21.00%,8.00%,2,9,0,6,0,0,0,0,0,0,0,3,0,0,54.0542737,-128.6552266,,,0,TRUE,TRUE,0,0,0
Mountainview Village,93240,Interior Health,PNP,1540 K.L.O. Road,Kelowna,V1W3P6,Community Care & Assisted Living Act,Accredited,2.8,0.35,3.15,2.8,0.35,3.15,90,90,0,0,0,0,0,0,11,0,0,1,12,0,0,0,12.2,0,0,1.1,13.3,0,84,61.80%,59.80%,5.30%,782,20.40%,19.60%,34.90%,71.50%,15.30%,2.9,34.70%,0.59,1.10%,10.20%,0.30%,53.00%,42.90%,6.80%,1,3,0,0,0,0,1,0,0,0,0,0,2,0,49.8610063,-119.4565603,,,0,TRUE,TRUE,0,0,0
Nanaimo Seniors Village,9261A,Vancouver Island Health,PFP,6085 Uplands Drive,Nanaimo,V9V1T8,Community Care & Assisted Living Act,Accredited,2.9,0.18,3.08,3.01,0.22,3.23,150,150,0,0,4,1,0,0,13,0,0,3,4,13,0,0,8.7,0,0,2,2.7,8.7,85,67.20%,61.70%,5.10%,906,28.40%,28.00%,31.90%,55.80%,8.20%,3.4,26.10%,0.57,1.60%,4.30%,0.00%,40.50%,37.70%,16.30%,5,2,0,0,0,1,1,0,0,0,0,0,0,0,49.236311,-124.03886,,,0,TRUE,TRUE,0.106666667,0,0
Nelson Jubilee Manor,98G4A,Interior Health,HA,500 Beasley St West,Nelson,V1L6G9,Community Care & Assisted Living Act,Accredited,2.84,0.41,3.25,2.84,0.41,3.25,39,39,0,0,0,0,1,2,1,0,0,0,0,1,2.6,5.1,2.6,0,0,0,0,2.6,85,71.20%,61.90%,8.50%,607,29.40%,48.40%,22.90%,52.90%,3.30%,2.2,61.40%,0.6,10.50%,0.00%,10.50%,49.70%,22.20%,9.10%,1,3,0,0,0,0,1,0,0,1,0,1,0,0,49.4795674,-117.2989961,,,0,TRUE,TRUE,0,>0,0
New Vista Care Home,99C37,Fraser Health,PNP,7550 Rosewood Street,Burnaby,V5E3Z3,Community Care & Assisted Living Act,Accredited,2.42,0.31,2.73,2.67,0.32,2.99,236,236,0,0,3,1,0,1,27,1,0,7,4,17,0,0.4,11.4,0.4,0,3,1.7,7.2,83,62.50%,49.30%,4.70%,"1,087",14.40%,29.50%,31.90%,72.90%,13.30%,2.7,48.80%,0.52,21.00%,37.60%,0.00%,52.40%,32.80%,8.10%,5,16,0,3,4,4,2,0,1,0,0,2,0,0,49.2239438,-122.9454127,20,3,1,TRUE,TRUE,0,0,0
Nicola Lodge,93GBA,Fraser Health,PFP,2240 Hawkins St.,Port Coquitlam,V3B0M2,Community Care & Assisted Living Act,Unknown,2.98,0.37,3.36,2.98,0.37,3.35,230,0,0,0,4,1,2,1,25,0,0,2,6,0,0.9,0.4,10.9,0,0,0.9,2.6,0,84,58.60%,56.10%,4.30%,620,18.90%,11.80%,18.40%,60.90%,7.00%,1.7,80.50%,0.58,16.40%,55.40%,2.70%,41.60%,12.50%,4.00%,6,1,1,0,0,0,0,0,0,0,0,0,0,0,49.255787,-122.737523,1,0,1,FALSE,FALSE,0.07826087,>0,0
Noric House,98IF3,Interior Health,HA,1400 Mission Rd,Vernon,V1T9C3,Community Care & Assisted Living Act,Accredited,2.85,0.34,3.19,2.85,0.34,3.19,85,85,0,0,0,0,1,0,19,0,0,3,2,1,1.2,0,22.4,0,0,3.5,2.4,1.2,85,74.40%,59.50%,2.50%,599,40.50%,39.90%,26.00%,77.50%,9.20%,2.3,61.50%,0.64,34.30%,59.50%,52.40%,69.80%,25.30%,7.60%,1,4,0,1,1,0,1,1,0,0,0,0,0,0,50.251193,-119.282587,,,0,TRUE,TRUE,0,>0,>0
Normanna Rest Home,9C489,Fraser Health,PNP,7725-4th St,Burnaby,V3N5B6,Community Care & Assisted Living Act,Unknown,2.65,0.33,2.98,2.72,0.34,3.06,100,90,5,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,86,80.20%,61.00%,2.50%,"1,142",27.30%,34.90%,20.60%,62.80%,16.10%,2.9,38.80%,0.6,13.50%,49.50%,0.80%,44.80%,25.90%,9.40%,1,1,0,1,0,0,0,0,0,0,0,0,0,0,49.22202645,-122.9276107,,,0,TRUE,TRUE,0,0,0
Northcrest Care Centre,9C5G2,Fraser Health,PFP,6771-120th Street,Delta,V4E2A7,Community Care & Assisted Living Act,Accredited,2.88,0.37,3.24,2.99,0.37,3.36,106,90,8,0,0,0,0,0,3,0,0,2,0,0,0,0,2.8,0,0,1.9,0,0,84,67.60%,51.70%,6.20%,278,52.90%,45.20%,30.40%,70.10%,16.10%,1.8,69.70%,0.58,0.70%,84.90%,0.20%,70.50%,22.50%,10.40%,5,0,0,0,0,0,0,0,0,0,0,0,0,0,49.126449,-122.891122,,,0,TRUE,TRUE,0,0,0
Northern Haida Gwaii Hospital and Health Centre,91F3C,Northern Health,HA,2520 Harrison Avenue,Masset,V0T1M0,Hospital Act,Accredited,3.45,0,3.45,3.54,0,3.54,5,4,0,0,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,1,8,0,3,0,0,1,0,1,1,1,1,0,0,54.020576,-132.157074,,,0,FALSE,FALSE,0,unknown,0
Oak Bay Lodge,99D3D,Vancouver Island Health,HA,2251 Cadboro Bay Rd.,Victoria,V8R5H3,Community Care & Assisted Living Act,Accredited,2.84,0.22,3.06,2.94,0.22,3.17,235,87,74,0,30,8,1,13,42,0,1,14,2,21,0.4,5.5,17.9,0,0.4,6,0.9,8.9,88,67.30%,69.70%,1.10%,730,29.40%,14.30%,19.70%,82.80%,5.80%,3.2,37.00%,0.54,0.40%,1.10%,4.30%,52.80%,35.30%,3.60%,19,22,0,2,1,6,5,1,1,1,0,5,0,0,48.432936,-123.3138,,,0,FALSE,FALSE,0,>0,>0
Orchard Haven - South Similkameen Health Centre,9252A,Interior Health,HA,700 3rd St,Keremeos,V0X1N0,Community Care & Assisted Living Act,Accredited,3.01,0.41,3.42,3.04,0.41,3.45,38,38,0,0,0,0,1,1,9,0,0,4,4,1,2.6,2.6,23.7,0,0,10.5,10.5,2.6,82,66.50%,50.20%,4.40%,643,41.70%,30.30%,29.50%,69.70%,6.10%,3.1,43.90%,0.6,12.10%,3.00%,3.80%,50.00%,26.70%,21.40%,2,11,2,0,2,2,2,0,1,0,1,0,1,0,49.2069196,-119.8315278,,,0,TRUE,TRUE,0,>0,0
Overlander Residential Care,9A708,Interior Health,HA,953 Southill Street,Kamloops,V2B7Z9,Hospital Act,Accredited,2.98,0.25,3.23,3.04,0.38,3.42,183,35,14,30,0,0,4,0,17,0,0,5,9,2,2.2,0,9.3,0,0,2.7,4.9,1.1,81,68.30%,42.60%,9.00%,726,37.30%,50.50%,36.40%,67.60%,9.60%,2.5,49.90%,0.62,21.70%,44.40%,17.30%,59.90%,37.30%,8.30%,0,3,0,1,0,0,2,0,0,0,0,0,0,0,50.7037337,-120.3973241,,,0,TRUE,TRUE,0,>0,0
Oyster Harbour Seniors Community,99G47,Vancouver Island Health,PFP,1127 4th Ave,Ladysmith,V9G1A6,Community Care & Assisted Living Act,Not Accredited,2.96,0.24,3.2,2.96,0.25,3.21,89,87,2,0,3,1,0,0,9,0,0,1,0,0,0,0,10.1,0,0,1.1,0,0,83,68.20%,51.40%,5.40%,"1,144",17.50%,18.60%,25.70%,70.10%,8.80%,3.1,40.70%,0.55,2.30%,0.30%,0.00%,42.70%,17.00%,0.50%,1,3,0,2,0,0,0,0,0,1,0,0,0,0,48.9966463,-123.8287358,,,0,TRUE,TRUE,0,0,0
Parkside Care,9AI58,Northern Health,HA,788 Ospika Boulevard,Prince George,V2M6Y2,Community Care & Assisted Living Act,Accredited,2.94,0.38,3.31,2.9,0.46,3.36,58,58,0,0,1,1,0,0,3,0,0,0,2,0,0,0,5.2,0,0,0,3.4,0,83,63.90%,54.20%,6.70%,"1,032",28.30%,31.30%,32.50%,69.90%,2.40%,3,36.70%,0.57,0.00%,83.10%,0.00%,49.40%,29.90%,9.80%,1,5,0,2,0,0,1,2,0,0,0,0,0,0,53.91781,-122.794787,,,0,TRUE,TRUE,0,0,>0
Parkview Place,98IEB,Interior Health,HA,707 3rd Ave,Enderby,V0E1V0,Community Care & Assisted Living Act,Accredited,2.86,0.36,3.22,2.86,0.38,3.24,31,31,0,0,0,0,1,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,87,63.10%,69.40%,0.60%,500,26.40%,23.10%,30.60%,68.60%,8.30%,2.5,51.20%,0.58,0.00%,50.40%,0.00%,57.00%,20.50%,9.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.5466217,-119.1407493,,,0,TRUE,TRUE,0,>0,0
Peace Portal Seniors Village,9C47I,Fraser Health,PFP,15441 - 16th Avenue,Surrey,V4A8T8,Community Care & Assisted Living Act,Accredited,2.45,0.28,2.73,2.67,0.28,2.95,84,67,7,0,0,0,1,0,13,0,0,5,2,0,1.2,0,15.5,0,0,6,2.4,0,87,71.30%,71.30%,0.50%,535,35.50%,25.50%,35.50%,61.70%,8.50%,2.9,47.50%,0.53,3.50%,48.20%,0.00%,46.10%,15.20%,15.80%,4,4,2,0,0,0,0,0,0,0,0,2,0,0,49.031282,-122.7945296,,,0,TRUE,TRUE,0.678571429,>0,0
Peace Villa,9BDGA,Northern Health,HA,8407 112 Avenue,Fort St John,V1J0J5,Community Care & Assisted Living Act,Accredited,3.31,0.28,3.58,3.16,0.28,3.44,124,124,0,0,0,0,0,0,5,0,0,0,3,0,0,0,4,0,0,0,2.4,0,81,62.80%,41.80%,10.00%,932,7.90%,27.00%,22.70%,58.70%,5.70%,2.8,38.50%,0.57,0.00%,0.50%,0.50%,40.70%,37.20%,19.80%,4,8,0,0,2,1,0,0,0,2,0,3,0,0,56.256732,-120.81792,,,0,TRUE,TRUE,0,0,0
Piccadilly Seniors Community,931AA,Interior Health,PFP,821 10th Avenue SW,Salmon Arm,V1E1T2,Community Care & Assisted Living Act,Accredited,2.8,0.35,3.15,2.95,0.35,3.3,59,46,7,0,0,0,0,1,9,0,0,0,4,1,0,1.7,15.3,0,0,0,6.8,1.7,89,58.80%,73.40%,2.40%,574,28.00%,22.90%,33.60%,61.20%,7.00%,3.6,22.40%,0.58,0.00%,0.00%,0.00%,51.40%,20.40%,4.70%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.692591,-119.294396,,,0,TRUE,TRUE,0.13559322,0,0
Pine Acres Home,9BDAH,Interior Health,PNP,1902 Pheasant Lane,Westbank,V4T2H4,Community Care & Assisted Living Act,Accredited,2.8,0.35,3.15,2.8,0.35,3.15,63,33,5,0,0,0,0,2,6,0,0,0,4,0,0,3.2,9.5,0,0,0,6.3,0,80,49.20%,35.00%,12.30%,725,17.20%,18.50%,25.60%,73.10%,5.00%,2.7,42.90%,0.54,1.30%,11.30%,7.10%,35.70%,51.70%,4.90%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.839286,-119.59551,,,0,TRUE,TRUE,0.365079365,0,0
Pine Grove Seniors Community,9A9G2,Interior Health,PFP,313 Mcgowan Street,Kamloops,V2B2N8,Community Care & Assisted Living Act,Unknown,2.8,0.35,3.15,2.99,0.35,3.34,75,14,31,0,1,0,2,0,8,0,0,1,3,1,2.7,0,10.7,0,0,1.3,4,1.3,87,74.20%,62.80%,2.00%,395,29.10%,37.00%,29.80%,63.30%,7.60%,3.2,38.80%,0.62,11.80%,9.30%,0.00%,50.90%,17.20%,9.10%,1,5,0,0,1,1,0,1,0,0,0,2,0,0,50.64479145,-120.3440998,,,0,TRUE,TRUE,0,>0,>0
Pinegrove Place,9AG59,Vancouver Coastal Health,PNP,11331 Mellis Drive,Richmond,V6X1L8,Community Care & Assisted Living Act,Accredited,2.61,0.28,2.89,2.86,0.29,3.15,76,76,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.3,0,0,0,0,0,84,58.60%,57.40%,4.00%,"1,742",24.50%,46.20%,37.40%,72.00%,12.60%,1.8,69.80%,0.59,0.30%,65.40%,0.30%,46.90%,20.10%,9.20%,5,2,0,0,0,0,1,0,0,1,0,0,0,0,49.1867925,-123.0984471,,,0,TRUE,TRUE,0,0,0
Pleasant Valley Manor,9BJG5,Interior Health,HA,3800 Patten Dr.,Armstrong,V0E1B2,Hospital Act,Accredited,2.93,0.31,3.24,2.93,0.31,3.24,82,82,0,0,0,0,0,1,9,0,0,1,1,0,0,1.2,11,0,0,1.2,1.2,0,87,64.10%,72.00%,4.00%,601,28.60%,43.20%,23.50%,72.90%,5.10%,3,38.10%,0.59,0.90%,71.40%,0.00%,51.20%,25.40%,11.80%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.4392858,-119.2079969,,,0,TRUE,TRUE,0,0,0
Point Grey Private Hospital,9995A,Vancouver Coastal Health,PFP,2423 Cornwall Avenue,Vancouver,V6K1B9,Hospital Act,Not Accredited,2.62,0.13,2.75,2.72,0.13,2.85,72,31,20,0,0,0,1,0,2,0,0,0,0,1,1.4,0,2.8,0,0,0,0,1.4,86,60.40%,64.30%,0.40%,749,30.50%,29.70%,27.10%,75.10%,12.60%,3.6,29.00%,0.59,3.30%,0.00%,1.10%,55.80%,24.70%,32.70%,1,2,0,0,0,0,1,0,0,0,0,1,0,0,49.2724948,-123.1496031,,,0,TRUE,FALSE,0.069444444,>0,0
Polson Residential Care - Vernon Jubilee Hospital,9A628,Interior Health,HA,2101 32nd Street,Vernon,V1T5L2,Hospital Act,Accredited,2.95,0.36,3.31,2.94,0.36,3.3,97,15,9,16,0,0,2,0,9,0,0,1,6,2,2.1,0,9.3,0,0,1,6.2,2.1,85,65.70%,55.80%,2.30%,542,43.80%,36.90%,30.80%,73.70%,4.20%,2.3,54.40%,0.61,2.90%,31.00%,2.90%,72.90%,31.00%,14.50%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.256926,-119.271624,,,0,TRUE,TRUE,0,>0,0
Ponderosa Lodge,98FA9,Interior Health,HA,425 Columbia St,Kamloops,V2C2T4,Community Care & Assisted Living Act,Accredited,2.84,0.38,3.22,2.84,0.38,3.22,98,90,1,0,0,0,2,1,12,0,0,4,4,3,2,1,12.2,0,0,4.1,4.1,3.1,84,47.90%,48.40%,2.80%,237,22.30%,31.00%,33.20%,71.20%,7.10%,3.1,37.00%,0.58,47.30%,0.00%,35.90%,52.20%,30.50%,0.90%,1,3,0,0,0,0,3,0,0,0,0,0,0,0,50.670828,-120.331933,,,0,FALSE,TRUE,0,>0,0
Poplar Ridge Pavilion - Kootenay Boundary Hospital,9A667,Interior Health,HA,1200 Hospital Bench,Trail,V1R4M1,Hospital Act,Accredited,2.84,0.36,3.2,2.89,0.36,3.25,49,5,14,4,0,0,2,3,0,0,0,0,0,0,4.1,6.1,0,0,0,0,0,0,87,67.40%,63.20%,4.50%,287,25.40%,58.50%,26.30%,56.10%,3.90%,2.8,49.30%,0.62,20.00%,49.30%,20.50%,67.30%,17.90%,8.80%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.1035546,-117.7011867,,,0,TRUE,TRUE,0,>0,0
Purdy Pavilion - UBC Hospital,9A5C6,Vancouver Coastal Health,HA,2221 Wesbrook Mall,Vancouver,V6T1Z9,Hospital Act,Accredited,3.05,0.31,3.36,3.13,0.3,3.43,199,23,0,60,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,81,55.10%,44.30%,9.20%,760,16.10%,45.50%,43.10%,44.70%,5.10%,2.4,55.30%,0.62,34.70%,19.60%,6.90%,47.00%,33.30%,13.60%,1,2,0,2,0,0,0,0,0,0,0,0,0,0,49.2632866,-123.2458694,,,0,TRUE,TRUE,0,0,0
Qualicum Manor,92EE0,Vancouver Island Health,PFP,124 Fourth Ave East,Qualicum Beach,V9K1N6,Community Care & Assisted Living Act,Unknown,2.89,0.16,3.05,2.99,0.16,3.15,59,34,13,0,4,1,0,2,3,0,0,0,2,0,0,3.4,5.1,0,0,0,3.4,0,89,91.30%,75.80%,0.00%,"1,756",23.00%,37.80%,24.40%,83.70%,10.40%,2.1,59.30%,0.58,0.70%,2.20%,0.00%,74.80%,36.90%,7.20%,1,1,0,0,1,0,0,0,0,0,0,0,0,0,49.3449157,-124.4405245,,,0,TRUE,TRUE,0.372881356,0,0
Queen's Park Care Centre,9A5GG,Fraser Health,HA,315 McBride Blvd.,New Westminster,V3L5E8,Hospital Act,Unknown,3.19,0.34,3.52,3.19,0.34,3.53,148,14,2,32,0,0,0,2,4,0,0,0,2,0,0,1.4,2.7,0,0,0,1.4,0,84,64.10%,58.60%,9.60%,548,11.80%,38.70%,22.00%,51.80%,6.00%,2.7,50.30%,0.58,2.50%,20.00%,2.30%,36.70%,13.20%,7.10%,1,6,1,2,0,0,0,2,0,0,0,1,0,0,49.2158542,-122.9036695,6,1,1,TRUE,TRUE,0,0,>0
R. W. Large Memorial Hospital,9A773,Vancouver Coastal Health,HA,88 Waglisla Street,Bella Bella,V0T1Z0,Hospital Act,Accredited,,,,,,,7,7,0,0,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,1,1,0,0,0,0,0,0,0,0,1,0,1,0,52.1612112,-128.1433196,,,0,FALSE,FALSE,0,unknown,0
Rainbow Lodge,9315A,Northern Health,HA,1000 Liard Drive,Prince George,V2M3Z3,Community Care & Assisted Living Act,Accredited,3.16,0.26,3.42,3.1,0.26,3.36,18,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.6,0,0,0,0,0,82,86.00%,43.00%,0.00%,393,17.60%,19.60%,19.60%,82.40%,2.00%,3.4,37.30%,0.5,0.00%,88.20%,0.00%,51.00%,27.50%,18.60%,1,9,1,7,0,0,0,1,0,0,0,0,0,0,49.2238303,-122.9332908,,,0,TRUE,TRUE,0,0,>0
Renfrew Care Centre,9193F,Vancouver Coastal Health,PFP,1880 Renfrew Street,Vancouver,V5M3H9,Community Care & Assisted Living Act,Accredited,2.58,0.12,2.7,2.69,0.12,2.81,106,86,10,0,0,0,1,0,10,0,0,2,3,0,0.9,0,9.4,0,0,1.9,2.8,0,84,58.80%,56.60%,3.50%,"1,050",15.90%,42.40%,39.40%,74.90%,9.20%,3.1,41.20%,0.57,0.00%,65.00%,0.50%,29.00%,24.70%,6.60%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,49.26786,-123.044,,,0,TRUE,TRUE,0,>0,0
Rest Haven Lodge,9ADH2,Vancouver Island Health,PNP,2281 Mills Road,Sidney,V8L2C3,Community Care & Assisted Living Act,Accredited,2.82,0.22,3.04,2.97,0.36,3.32,73,73,0,0,1,0,0,1,4,0,0,0,0,0,0,1.4,5.5,0,0,0,0,0,86,66.80%,65.50%,1.20%,624,47.80%,31.30%,33.00%,79.50%,9.80%,2.6,54.50%,0.61,12.10%,44.80%,0.00%,60.30%,19.50%,3.80%,2,1,0,0,0,0,0,0,1,0,0,0,0,0,48.654974,-123.40484,,,0,TRUE,TRUE,0,0,0
Richmond Lions Manor,99BGD,Vancouver Coastal Health,HA,9020 Bridgeport Road,Richmond,V6X1S1,Community Care & Assisted Living Act,Accredited,2.71,0.27,2.98,2.71,0.32,3.03,93,49,22,0,1,1,0,0,10,0,0,1,0,0,0,0,10.8,0,0,1.1,0,0,87,72.00%,63.10%,2.50%,"1,094",18.00%,21.80%,37.80%,58.20%,8.80%,2.2,59.50%,0.61,37.10%,10.90%,43.90%,40.50%,29.50%,3.20%,4,3,0,0,0,0,1,1,0,0,0,1,0,0,49.1914932,-123.1252982,1,0,1,TRUE,TRUE,0,0,>0
Ridgeview Lodge,93530,Interior Health,PFP,920 Desmond Street,Kamloops,V2B5K6,Community Care & Assisted Living Act,Unknown,2.8,0.35,3.15,2.87,0.35,3.22,129,129,0,0,0,1,1,1,18,0,1,8,14,1,0.8,0.8,14,0,0.8,6.2,10.9,0.8,85,61.40%,55.80%,4.00%,"1,115",16.50%,22.40%,19.60%,36.10%,13.30%,3.5,30.00%,0.6,1.60%,0.00%,0.20%,45.20%,26.80%,3.20%,2,6,0,0,1,1,3,0,0,0,0,1,0,0,50.7034312,-120.3931349,,,0,FALSE,FALSE,0.178294574,>0,0
Ridgewood Lodge - Princeton General Hospital,9A4J6,Interior Health,HA,98 Ridgewood Drive,Princeton,V0X1W0,Community Care & Assisted Living Act,Accredited,2.83,0.4,3.23,2.85,0.4,3.25,37,33,2,0,1,0,0,0,4,0,0,0,1,0,0,0,10.8,0,0,0,2.7,0,84,59.20%,52.00%,1.70%,404,27.70%,22.70%,27.70%,67.40%,9.90%,3.1,38.30%,0.56,38.30%,15.60%,7.80%,41.10%,17.70%,12.30%,1,1,0,0,0,0,0,0,0,0,0,1,0,0,49.45459015,-120.5264514,,,0,TRUE,TRUE,0,0,0
Rocky Mountain Village,92D60,Interior Health,PFP,55 Cokato Road,Fernie,V0B1M4,Community Care & Assisted Living Act,Unknown,2.8,0.35,3.15,2.94,0.35,3.29,62,62,0,0,0,0,1,0,18,0,0,3,4,2,1.6,0,29,0,0,4.8,6.5,3.2,83,63.10%,49.60%,4.40%,442,14.20%,15.60%,31.10%,67.60%,6.70%,3.4,25.30%,0.59,48.40%,88.00%,11.60%,48.00%,32.70%,13.00%,5,15,0,2,0,1,3,1,0,0,0,3,0,0,49.4906726,-115.0647647,,,0,TRUE,TRUE,0.016129032,>0,>0
Rose Wood Village,92CB0,Interior Health,PFP,8125 Devito Drive,Trail,V1R4X9,Community Care & Assisted Living Act,Unknown,2.8,0.35,3.15,2.99,0.35,3.34,46,45,0,0,2,1,0,3,6,0,0,0,1,1,0,6.5,13,0,0,0,2.2,2.2,81,58.00%,57.00%,14.00%,362,22.40%,23.40%,37.50%,44.80%,5.20%,1.8,62.00%,0.63,26.00%,4.20%,1.60%,49.00%,20.40%,5.60%,2,4,0,1,0,0,1,0,0,0,0,1,1,0,49.0957762,-117.641763,,,0,TRUE,TRUE,0.02173913,0,0
Rosemary Heights Seniors Village,935CA,Fraser Health,PFP,15240-34th Avenue,Surrey,V3Z2J9,Community Care & Assisted Living Act,Accredited,2.56,0.24,2.8,2.99,0.37,3.36,90,85,2,0,1,0,1,2,19,0,1,0,4,3,1.1,2.2,21.1,0,1.1,0,4.4,3.3,86,67.70%,58.40%,1.10%,"1,017",17.00%,20.70%,39.00%,73.10%,6.50%,3,39.90%,0.56,3.10%,48.00%,0.00%,45.80%,15.50%,1.60%,4,7,1,0,1,0,2,2,0,0,0,1,0,0,49.0635552,-122.8006006,,,0,TRUE,FALSE,0.055555556,>0,>0
Rosewood Manor,9ADI4,Vancouver Coastal Health,PNP,6260 Blundell Rd,Richmond,V7C5C4,Community Care & Assisted Living Act,Not Accredited,2.98,0.26,3.24,3.06,0.25,3.31,151,151,0,0,0,0,0,0,21,0,0,3,7,1,0,0,13.9,0,0,2,4.6,0.7,85,62.70%,55.40%,1.40%,"1,027",23.00%,28.90%,17.00%,67.10%,7.00%,3.2,28.50%,0.5,19.80%,60.20%,0.20%,38.10%,28.50%,0.90%,1,4,0,1,0,1,2,0,0,0,0,0,0,0,49.1551041,-123.1553156,,,0,TRUE,TRUE,0,0,0
Rotary Manor,9976D,Northern Health,HA,1121 90th Avenue,Dawson Creek,V1G5A3,Community Care & Assisted Living Act,Accredited,3.22,0.25,3.47,3.16,0.25,3.41,115,115,0,0,0,0,1,0,9,0,0,0,3,0,0.9,0,7.8,0,0,0,2.6,0,82,60.70%,49.40%,8.90%,"1,051",21.40%,26.50%,23.10%,61.20%,7.80%,3.6,31.60%,0.56,9.50%,0.00%,0.00%,41.80%,39.70%,18.60%,2,4,0,2,0,1,0,0,0,0,0,1,0,0,55.773403,-120.23466,,,0,TRUE,FALSE,0,>0,0
Royal Arch Masonic Home,9AAG7,Vancouver Coastal Health,PNP,7850 Champlain Cresc,Vancouver,V5S4C7,Community Care & Assisted Living Act,Not Accredited,2.84,0.35,3.19,3.12,0.37,3.49,151,151,0,0,0,0,2,0,30,0,0,1,6,0,1.3,0,19.9,0,0,0.7,4,0,86,60.10%,61.00%,4.20%,"1,502",17.40%,37.10%,21.60%,61.90%,6.20%,3.4,29.40%,0.54,15.50%,83.70%,13.40%,41.20%,23.40%,5.10%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,49.2135328,-123.0288043,37,12,1,TRUE,TRUE,0,>0,0
Royal Ascot Care Centre,917JC,Vancouver Coastal Health,PFP,2455 East Broadway,Vancouver,V5M1Y1,Hospital Act,Not Accredited,2.87,0.24,3.11,2.96,0.24,3.2,82,64,9,0,1,0,1,0,9,0,0,2,1,1,1.2,0,11,0,0,2.4,1.2,1.2,85,74.50%,60.70%,3.40%,708,36.60%,31.50%,32.70%,68.50%,6.50%,3.1,37.20%,0.56,0.30%,0.00%,3.00%,54.80%,9.30%,0.00%,2,2,0,1,0,0,0,0,0,0,0,1,0,0,49.26239535,-123.0555417,,,0,TRUE,TRUE,0.024390244,>0,0
